"","age1.R","age2_no_comorbid.R","age2_comorbid.R","age3_no_comorbid.R","age3_comorbid.R"
"436",634,568,62,26,22
"437",604,557,52,21,15
"438",0,1,0,0,0
"439",0,1,0,0,0
"440",0,1,0,0,0
"441",1,1,0,0,0
"442",0,1,0,0,0
"443",0,1,0,0,0
"444",665,595,61,24,19
"445",617,534,55,18,13
"446",646,609,59,23,16
"447",0,1,0,0,0
"448",601,556,56,17,20
"449",631,595,60,21,10
"450",636,558,59,20,10
"451",0,1,0,0,0
"452",0,0,0,0,0
"453",639,641,59,22,13
"454",650,578,62,15,19
"455",635,560,72,15,18
"456",0,0,0,0,0
"457",649,589,64,13,28
"458",678,627,69,20,18
"459",588,552,65,16,11
"460",636,564,59,13,19
"461",1,1,0,0,0
"462",641,570,58,16,18
"463",0,1,0,0,0
"464",624,554,48,21,13
"465",613,596,74,19,21
"466",641,586,68,20,17
"467",665,623,61,18,19
"468",641,567,60,16,12
"469",631,577,60,17,18
"470",631,595,58,20,25
"471",624,540,57,20,19
"472",644,608,57,22,15
"473",606,542,61,16,16
"474",0,1,0,0,0
"475",0,1,0,0,0
"476",657,629,60,20,14
"477",659,585,51,26,19
"478",591,553,59,21,12
"479",0,1,0,0,0
"480",626,594,57,14,15
"481",647,615,54,20,24
"482",0,1,0,0,0
"483",632,581,57,18,16
"484",658,599,56,12,15
"485",650,600,62,15,18
"486",628,575,56,16,10
"487",0,1,0,0,0
"488",645,593,61,17,13
"489",628,591,61,17,14
"490",598,557,59,17,16
"491",660,606,62,18,19
"492",1,2,0,0,0
"493",1,1,0,0,0
"494",593,534,60,10,13
"495",0,1,0,0,0
"496",642,563,60,17,11
"497",666,604,65,20,14
"498",632,536,67,25,12
"499",631,555,62,18,16
"500",1,2,0,0,0
