"","age1.I","age2_no_comorbid.I","age2_comorbid.I","age3_no_comorbid.I","age3_comorbid.I"
"538",2,0,0,0,0
"539",0,1,0,0,0
"540",0,1,0,0,0
"541",196,228,35,15,19
"542",0,1,0,0,0
"543",219,215,27,12,18
"544",214,228,29,9,18
"545",0,1,0,0,0
"546",248,235,30,13,16
"547",214,237,41,13,21
"548",220,204,29,14,18
"549",240,230,31,12,19
"550",0,1,0,0,0
"551",216,206,28,10,20
"552",222,225,34,9,20
"553",223,224,35,15,18
"554",235,198,38,10,12
"555",210,243,22,12,16
"556",217,221,32,8,18
"557",193,222,30,12,14
"558",2,1,0,0,0
"559",0,1,0,0,0
"560",2,3,1,0,0
"561",212,216,31,13,18
"562",224,218,38,15,23
"563",0,0,0,0,0
"564",226,235,26,12,16
"565",211,241,29,11,15
"566",204,227,37,13,18
"567",0,1,0,0,0
"568",243,243,30,13,16
"569",216,214,25,9,20
"570",0,1,0,0,0
"571",214,217,32,11,15
"572",202,219,33,13,18
"573",204,212,38,13,17
"574",201,203,32,8,14
"575",2,2,0,0,0
"576",211,234,30,10,16
"577",201,215,29,11,17
"578",191,202,39,13,20
"579",0,1,0,0,0
"580",211,213,32,10,19
"581",231,222,35,9,21
"582",190,187,31,9,17
"583",0,1,0,0,0
"584",0,1,0,0,0
"585",202,222,34,7,18
"586",0,1,0,0,0
"587",223,212,36,10,15
"588",0,0,0,0,0
"589",0,1,0,0,0
"590",236,232,26,10,16
"591",204,210,23,9,18
"592",0,1,0,0,0
"593",237,212,34,12,18
"594",220,232,34,10,18
"595",218,218,31,10,17
"596",202,215,31,13,16
"597",219,229,24,14,19
"598",216,229,32,13,18
"599",0,1,0,0,0
"600",0,1,0,0,0
"601",220,207,26,8,21
"602",233,235,34,12,14
"603",247,244,33,11,17
"604",223,222,34,15,18
"605",0,0,0,0,0
"606",239,247,36,11,17
"607",0,1,0,0,0
"608",203,206,32,10,18
"609",223,227,31,13,20
"610",228,235,27,17,18
"611",213,224,26,17,18
"612",229,233,29,12,16
"613",211,215,32,9,16
"614",248,229,32,12,19
"615",0,1,0,0,0
"616",0,2,0,0,0
"617",0,1,0,0,0
"618",1,1,0,0,0
"619",203,222,35,13,16
"620",220,220,30,9,17
"621",0,1,0,0,0
"622",229,219,24,11,19
"623",219,213,25,11,22
"624",197,213,32,9,18
"625",0,1,0,0,0
"626",0,1,0,0,0
"627",1,1,0,0,0
"628",0,2,0,0,0
"629",228,220,41,9,22
"630",0,0,0,0,0
"631",1,1,0,0,0
"632",215,215,32,8,20
"633",222,225,28,13,15
"634",0,1,0,0,0
"635",0,1,0,0,0
"636",0,1,0,0,0
"637",216,228,29,13,17
"638",0,1,0,0,0
"639",0,0,0,0,0
"640",221,235,38,9,19
"641",1,2,0,0,1
"642",0,1,0,0,0
"643",0,1,0,0,0
"644",204,216,43,13,15
"645",0,1,0,0,0
"646",0,1,0,0,0
"647",215,214,28,13,18
"648",202,211,28,11,20
"649",0,1,0,0,0
"650",206,207,26,11,17
