"","age1_orange.D","age2_no_comorbid_orange.D","age2_comorbid_orange.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"484",46,88,35,7,39
"485",49,82,35,11,33
"486",41,73,37,0,0
"487",60,75,35,8,36
"488",59,89,41,0,0
"489",0,0,0,0,0
"490",66,79,33,0,0
"491",64,100,34,7,30
"492",61,88,34,0,0
"493",80,74,33,0,0
"494",72,84,28,0,0
"495",60,76,31,6,34
"496",57,89,39,9,44
"497",61,83,37,0,0
"498",0,0,0,0,0
"499",58,90,35,5,34
"500",60,88,31,0,0
"501",0,0,0,0,0
"502",0,0,0,0,0
"503",57,90,32,0,0
"504",56,83,33,5,29
"505",66,83,28,0,1
"506",61,72,33,10,33
"507",0,0,0,0,0
"508",65,77,40,0,0
"509",0,0,0,0,0
"510",66,75,36,0,0
"511",0,0,0,0,0
"512",68,88,32,0,0
"513",57,88,35,0,0
"514",61,88,33,0,0
"515",75,90,26,10,40
"516",58,71,37,11,36
"517",58,69,35,7,38
"518",61,73,31,0,1
"519",41,92,35,12,42
"520",57,75,29,0,0
"521",58,99,38,11,42
"522",58,73,34,9,41
"523",60,71,38,11,36
"524",58,89,37,14,38
"525",52,89,37,0,1
"526",0,0,0,0,0
"527",53,70,22,7,36
"528",65,82,29,8,37
"529",53,90,28,0,0
"530",0,0,0,0,0
"531",51,68,39,6,28
"532",64,79,40,0,0
"533",45,87,39,0,0
"534",57,76,30,14,39
"535",60,93,46,0,0
"536",0,0,0,0,0
"537",53,88,36,0,0
"538",0,0,0,0,0
"539",60,63,30,0,0
"540",64,75,50,0,0
"541",61,68,31,13,46
"542",53,75,29,0,0
"543",58,82,35,0,0
"544",71,80,41,9,31
"545",58,94,33,0,0
"546",56,78,23,7,39
"547",0,0,0,0,0
"548",59,74,33,0,1
"549",59,80,28,8,42
"550",60,85,27,9,36
"551",56,98,31,9,40
"552",65,77,29,9,38
"553",68,88,28,0,0
"554",54,71,40,0,0
"555",60,69,38,10,42
"556",59,68,32,10,36
"557",57,76,41,0,0
"558",48,69,31,13,38
"559",79,83,42,0,0
"560",59,73,25,10,40
"561",0,0,0,0,0
"562",51,73,36,0,1
"563",52,70,35,12,41
"564",59,80,30,7,39
"565",71,64,32,0,0
"566",50,90,39,0,0
"567",55,78,31,10,32
"568",62,75,33,1,0
"569",53,65,33,5,37
"570",0,0,0,0,0
"571",62,75,43,0,0
"572",0,0,0,0,0
"573",63,78,31,0,0
"574",56,75,31,7,36
"575",64,83,38,0,0
"576",48,82,34,0,0
"577",0,0,0,0,0
"578",59,75,36,7,37
"579",66,84,40,0,0
"580",68,81,31,0,0
"581",49,68,30,6,45
"582",62,79,37,6,33
"583",59,74,25,6,31
"584",47,74,33,0,0
"585",0,0,0,0,0
"586",70,87,37,0,1
"587",47,96,42,0,0
"588",62,89,26,17,28
"589",54,62,37,11,39
"590",73,96,34,8,40
"591",71,76,36,0,0
