"","age1_orange.H","age2_no_comorbid_orange.H","age2_comorbid_orange.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"650",21,17,9,0,0
"651",17,19,9,3,6
"652",13,21,8,0,0
"653",14,17,10,0,0
"654",20,21,13,0,0
"655",18,19,5,0,0
"656",16,25,9,0,0
"657",18,17,11,0,0
"658",23,25,9,2,6
"659",25,15,5,3,12
"660",15,28,8,0,0
"661",18,23,8,2,8
"662",23,23,5,0,0
"663",15,19,7,0,0
"664",19,20,6,0,0
"665",0,0,0,0,0
"666",18,21,10,0,0
"667",21,19,7,0,0
"668",23,26,8,0,0
"669",14,17,10,0,0
"670",24,22,12,0,0
"671",0,0,0,0,0
"672",17,25,12,3,7
"673",22,24,6,0,0
"674",17,20,8,0,0
"675",16,14,11,4,6
"676",17,19,11,0,0
"677",18,22,9,0,0
"678",24,20,11,0,0
"679",0,0,0,0,0
"680",16,23,10,0,0
"681",20,22,12,4,10
"682",23,16,8,1,6
"683",17,23,9,1,8
"684",20,22,10,0,0
"685",13,18,10,0,1
"686",26,25,9,2,8
"687",21,13,11,0,0
"688",19,26,7,1,2
"689",0,0,0,0,0
"690",18,11,8,3,11
"691",0,0,0,0,0
"692",20,17,11,0,0
"693",24,18,6,0,0
"694",0,0,0,0,0
"695",19,18,9,0,0
"696",21,15,10,0,0
"697",17,22,8,2,5
"698",17,19,7,2,9
"699",23,14,7,2,7
"700",0,0,0,0,0
"701",21,17,11,0,0
"702",17,19,11,1,8
"703",17,24,8,1,3
"704",18,26,8,3,5
"705",17,19,5,0,0
"706",23,14,11,4,12
"707",19,21,9,0,0
"708",19,25,6,0,0
"709",26,24,10,0,0
"710",21,22,10,4,5
"711",0,0,0,0,0
"712",19,12,11,1,5
"713",18,17,13,0,0
"714",15,18,7,0,0
"715",18,12,6,0,0
"716",18,14,7,0,0
"717",20,16,8,3,5
"718",16,16,7,0,0
"719",17,19,10,0,0
"720",21,27,10,0,0
"721",20,21,9,1,9
"722",16,25,7,5,8
"723",15,20,8,0,0
"724",16,19,7,0,0
"725",20,18,11,0,0
"726",17,27,9,3,10
"727",24,24,10,0,0
"728",16,20,9,2,12
"729",26,19,7,0,1
"730",19,20,11,0,0
"731",20,19,7,2,6
"732",21,21,11,0,0
"733",0,0,0,0,0
"734",17,17,10,2,7
"735",18,23,9,5,8
"736",0,0,0,0,0
"737",25,29,7,0,0
"738",23,23,8,3,6
"739",20,20,9,0,0
"740",20,17,6,0,0
"741",18,23,9,0,0
"742",13,16,5,0,0
"743",18,26,9,3,10
"744",0,0,0,0,0
"745",24,18,8,1,0
"746",18,18,12,0,0
"747",15,20,9,0,0
"748",17,18,6,0,0
"749",25,24,10,5,7
"750",20,19,10,0,0
"751",0,0,0,0,0
"752",18,20,11,0,1
"753",0,0,0,0,0
"754",20,17,10,0,0
"755",17,16,7,0,0
"756",17,19,10,2,7
"757",20,14,13,0,0
"758",13,19,7,0,0
"759",0,0,0,0,0
"760",22,26,8,3,8
"761",18,18,9,2,6
"762",0,0,0,0,0
"763",22,18,8,0,0
"764",0,0,0,0,0
"765",20,19,12,0,0
"766",16,18,12,4,9
"767",19,22,6,0,0
"768",19,15,8,3,7
"769",0,0,0,0,0
"770",0,0,0,0,0
"771",19,19,9,1,5
"772",17,19,8,0,0
"773",25,20,11,0,0
"774",0,0,0,0,0
"775",19,23,7,3,3
"776",15,16,13,0,0
"777",18,20,5,2,8
"778",17,19,11,3,6
"779",20,17,12,0,0
"780",19,27,11,0,0
"781",12,24,7,0,1
"782",16,17,9,0,0
"783",18,15,7,0,0
"784",0,0,0,0,0
"785",0,0,0,0,0
"786",19,21,7,0,1
"787",1,0,0,0,0
"788",17,18,13,0,0
"789",21,22,6,1,2
"790",20,21,11,0,0
"791",16,17,10,1,4
"792",0,0,0,0,0
"793",0,0,0,0,0
"794",18,19,11,0,0
"795",27,17,9,0,0
"796",16,21,6,1,1
"797",0,0,0,0,0
"798",21,22,7,0,0
"799",17,20,10,0,0
"800",19,17,15,3,9
"801",22,16,7,0,0
"802",0,0,0,0,0
"803",0,0,0,0,0
"804",21,16,7,0,0
"805",20,18,5,0,0
"806",20,18,9,3,10
"807",16,27,9,0,0
"808",15,19,6,0,0
"809",18,19,8,0,0
"810",20,20,10,4,8
"811",20,24,10,0,0
"812",14,22,8,0,0
"813",23,16,7,0,1
"814",15,21,8,0,0
"815",17,18,7,0,0
"816",0,0,0,0,0
"817",0,0,0,0,0
"818",18,16,7,2,7
"819",23,19,6,0,0
"820",0,0,0,0,0
"821",20,21,10,0,0
"822",18,21,9,0,0
"823",19,23,11,4,10
"824",12,20,8,1,0
"825",22,23,8,0,0
"826",19,14,11,0,1
"827",25,19,5,0,0
"828",13,20,8,0,0
"829",20,21,7,0,0
"830",29,29,14,0,0
"831",23,23,10,0,0
"832",22,14,8,6,10
"833",18,21,5,0,0
"834",0,0,0,0,0
"835",19,18,8,3,10
"836",0,0,0,0,0
"837",15,19,15,3,7
"838",21,25,13,0,0
"839",17,20,9,3,8
"840",0,0,0,0,0
"841",15,22,8,3,10
"842",13,17,7,0,0
"843",20,26,7,0,0
"844",15,20,9,0,0
"845",28,22,6,2,7
"846",25,21,9,0,0
"847",17,30,9,2,7
"848",20,26,10,4,8
"849",17,25,8,0,0
"850",16,25,9,0,0
"851",23,20,10,0,1
"852",0,0,0,0,0
"853",22,15,6,3,8
"854",0,0,0,0,0
"855",24,21,11,4,12
"856",20,20,10,1,5
"857",24,16,10,6,8
"858",0,0,0,0,0
"859",20,22,8,0,0
"860",20,21,9,0,0
"861",21,16,7,0,0
"862",0,0,0,0,0
"863",15,25,6,0,0
"864",22,19,8,2,5
"865",0,0,0,0,0
"866",0,0,0,0,0
"867",17,25,8,3,7
"868",24,24,10,0,0
"869",16,20,8,0,0
"870",20,20,8,0,0
"871",18,21,7,2,6
"872",0,0,0,0,0
"873",0,0,0,0,0
"874",22,22,11,2,9
"875",17,22,9,0,0
"876",21,22,11,0,1
"877",0,0,0,0,0
"878",14,24,8,3,10
"879",17,19,7,0,0
"880",15,18,11,4,6
"881",16,17,8,0,0
"882",23,23,17,4,4
"883",20,25,11,0,0
"884",0,0,0,0,0
"885",20,17,9,2,10
"886",16,16,5,2,5
"887",16,19,10,0,2
"888",20,21,7,0,0
"889",0,0,0,0,0
"890",21,21,7,0,0
"891",19,13,9,1,4
"892",19,22,6,2,6
"893",17,26,11,3,6
"894",17,20,10,0,0
"895",0,0,0,0,0
"896",21,16,7,4,9
"897",22,26,11,5,8
"898",18,20,7,2,8
"899",19,17,7,0,0
"900",22,17,9,0,0
"901",16,25,9,5,6
"902",15,13,13,0,0
"903",22,21,3,3,8
"904",12,16,8,0,0
"905",24,24,5,0,0
"906",16,18,7,1,5
"907",18,23,7,0,0
"908",23,26,11,1,6
"909",17,25,10,0,0
"910",18,15,13,0,0
"911",15,19,8,3,3
"912",0,0,0,0,0
"913",21,19,5,0,0
"914",17,21,9,3,9
"915",22,22,6,0,0
"916",21,22,8,0,1
"917",25,13,8,0,1
"918",23,17,11,0,0
"919",17,19,11,1,0
"920",0,0,0,0,0
"921",0,0,0,0,0
"922",25,25,7,3,6
"923",17,24,13,1,6
"924",18,17,10,3,8
"925",21,17,14,1,2
"926",23,26,12,0,0
"927",20,24,12,3,5
"928",16,21,8,0,0
"929",22,24,5,2,11
"930",19,17,12,2,5
"931",21,20,9,0,0
"932",0,0,0,0,0
"933",20,19,10,4,5
"934",20,21,9,2,7
"935",26,21,6,2,6
"936",21,19,10,0,0
"937",17,18,6,1,0
"938",17,23,7,0,0
"939",21,18,13,3,7
"940",0,0,0,0,0
"941",17,18,6,3,8
"942",17,17,7,2,10
"943",13,23,5,0,0
"944",19,20,9,0,0
"945",14,15,11,0,0
"946",19,24,10,1,4
"947",25,22,6,0,0
"948",18,26,8,0,0
"949",0,0,0,0,0
"950",19,15,6,0,0
"951",15,18,8,2,9
"952",23,21,9,0,0
"953",0,0,0,0,0
"954",15,27,10,3,11
"955",25,20,8,0,1
"956",21,26,8,0,0
"957",26,16,13,0,0
"958",19,27,9,0,0
"959",1,0,0,0,0
"960",17,16,5,2,9
"961",19,23,5,4,7
"962",20,21,12,0,0
"963",18,18,9,1,2
"964",17,15,8,0,0
"965",17,13,9,0,0
"966",20,23,9,0,0
"967",16,17,6,0,0
"968",15,21,9,0,7
"969",0,0,0,0,0
"970",20,23,10,0,0
"971",0,0,0,0,0
"972",20,19,8,0,0
"973",20,17,7,0,1
"974",17,27,9,2,7
"975",18,17,7,0,0
"976",18,17,12,2,5
"977",16,21,8,4,5
"978",24,25,8,2,6
"979",0,0,0,0,0
"980",20,31,10,0,0
"981",18,19,11,0,0
"982",16,21,15,0,0
"983",25,20,6,2,10
"984",17,17,13,0,0
"985",18,20,7,3,6
"986",17,27,8,0,0
"987",17,20,10,0,0
"988",25,17,10,0,0
"989",22,18,9,0,0
"990",14,25,11,1,3
"991",25,18,8,0,0
"992",18,26,13,0,0
"993",21,23,10,0,0
"994",23,18,10,0,0
"995",16,18,9,0,0
"996",17,22,8,2,9
"997",15,21,11,0,0
"998",19,13,8,0,0
"999",22,22,8,2,7
"1000",16,26,11,2,8
"1001",20,22,9,0,0
"1002",15,17,9,0,0
"1003",14,17,11,0,0
"1004",0,0,0,0,0
"1005",0,0,0,0,0
"1006",22,23,9,3,7
"1007",18,22,9,0,0
"1008",19,24,12,6,12
"1009",23,28,6,3,6
"1010",21,16,10,0,0
"1011",14,19,9,2,5
"1012",16,18,11,3,9
"1013",22,27,4,0,0
"1014",0,0,0,0,0
"1015",0,0,0,0,0
"1016",0,0,0,0,0
"1017",18,18,8,0,0
"1018",0,0,0,0,0
"1019",18,26,8,0,0
"1020",15,20,8,2,8
"1021",16,22,8,0,0
"1022",16,20,8,0,0
"1023",22,19,6,0,0
"1024",20,20,16,0,0
"1025",23,19,11,2,4
"1026",13,23,11,2,5
"1027",16,21,6,0,0
"1028",20,24,9,0,0
"1029",21,22,11,5,8
"1030",22,25,9,0,0
"1031",17,20,12,0,0
"1032",12,26,8,2,3
"1033",21,20,10,4,9
"1034",15,21,9,2,5
"1035",0,0,0,0,0
"1036",19,19,6,2,5
"1037",16,20,8,2,4
"1038",20,13,9,0,0
"1039",0,0,0,0,0
"1040",0,0,0,0,0
"1041",0,0,0,0,0
"1042",20,22,8,0,0
"1043",14,18,8,0,0
"1044",20,23,9,0,0
"1045",23,23,4,0,0
"1046",0,0,0,0,0
"1047",19,21,12,3,7
"1048",18,21,4,0,0
"1049",25,25,5,4,6
"1050",16,21,14,3,7
"1051",18,22,7,0,0
"1052",21,20,10,0,0
