"","age1_orange.I","age2_no_comorbid_orange.I","age2_comorbid_orange.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"768",195,204,31,8,15
"769",1,2,0,0,0
"770",0,1,0,0,0
"771",226,212,33,8,14
"772",222,220,33,0,0
"773",238,247,38,0,1
"774",0,1,0,0,0
"775",222,218,31,6,10
"776",225,232,31,0,0
"777",218,251,27,10,12
"778",208,239,32,8,8
"779",260,244,34,0,0
"780",226,233,33,0,0
"781",222,238,31,0,1
"782",220,254,41,0,0
"783",249,220,27,0,0
"784",0,1,0,0,0
"785",0,0,0,0,0
"786",242,256,37,1,2
"787",2,1,0,0,0
"788",266,232,35,0,0
"789",225,235,35,1,2
"790",226,247,34,0,0
"791",265,226,33,6,8
"792",0,1,0,0,0
"793",0,1,0,0,0
"794",245,223,32,0,0
"795",223,231,35,0,0
"796",261,280,32,2,2
"797",1,1,0,0,0
"798",242,224,36,0,0
"799",240,243,40,0,0
"800",197,208,29,13,16
"801",256,261,35,0,0
"802",0,1,0,0,0
"803",0,1,0,0,0
"804",240,232,34,0,0
"805",220,229,35,0,0
"806",224,214,34,10,11
"807",231,253,33,0,0
"808",227,216,36,0,0
"809",225,216,28,0,0
"810",246,259,31,10,12
"811",239,238,34,0,0
"812",213,208,29,0,0
"813",230,239,42,0,1
"814",260,257,40,0,0
"815",230,233,37,0,0
"816",0,0,0,0,0
"817",0,0,0,0,0
"818",232,242,31,8,11
"819",223,205,29,0,0
"820",0,1,0,0,0
"821",241,238,34,1,0
"822",225,228,33,0,0
"823",244,220,34,8,12
"824",256,218,41,1,0
"825",239,226,34,0,0
"826",229,234,41,0,1
"827",209,212,34,0,0
"828",232,254,43,0,0
"829",210,229,29,1,1
"830",204,217,33,0,0
"831",241,220,32,0,0
"832",258,274,35,12,13
"833",229,230,32,0,0
"834",0,1,0,0,0
"835",214,247,34,7,12
"836",0,1,0,0,0
"837",234,246,36,6,9
"838",251,224,35,0,0
"839",246,240,35,6,8
"840",0,0,0,0,0
"841",220,236,33,9,15
"842",207,220,32,1,0
"843",246,260,28,0,0
"844",223,244,41,0,0
"845",217,250,38,8,14
"846",210,216,31,0,0
"847",224,243,37,5,6
"848",240,254,36,10,8
"849",217,216,34,0,0
"850",255,249,43,0,0
"851",232,211,33,0,1
"852",0,0,0,0,0
"853",228,237,35,10,16
"854",0,1,0,0,0
"855",228,243,31,7,18
"856",234,229,38,7,14
"857",214,235,37,9,18
"858",0,1,0,0,0
"859",251,246,35,0,0
"860",216,250,35,0,0
"861",239,234,36,0,0
"862",0,1,0,0,0
"863",224,254,31,0,0
"864",234,261,44,6,9
"865",0,1,0,0,0
"866",0,1,0,0,0
"867",244,240,28,13,17
"868",218,226,37,0,0
"869",231,234,38,0,0
"870",243,237,26,0,0
"871",207,239,36,8,9
"872",0,1,0,0,0
"873",0,1,0,0,0
"874",246,243,35,9,16
"875",213,240,29,0,0
"876",228,223,34,1,1
"877",0,1,0,0,0
"878",214,220,32,11,16
"879",219,231,30,0,0
"880",217,238,43,8,19
"881",220,222,35,0,0
"882",279,223,33,9,12
"883",215,246,37,0,0
"884",0,1,0,0,0
"885",221,237,35,13,18
"886",216,220,38,8,13
"887",217,199,29,0,2
"888",231,244,38,0,0
"889",0,2,0,0,0
"890",251,216,34,0,0
"891",206,218,34,7,10
"892",238,230,36,7,9
"893",244,218,25,6,13
