"","age1_orange.A","age2_no_comorbid_orange.A","age2_comorbid_orange.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"405",37.8454645724569,43.3047643990693,42.6441455165043,68.5217687396766,74.4134975021029
"406",34.1385698381004,31.5771240724314,31.0257147771739,72.2285078284091,57.8637357529348
"407",0,0,0,0,0
"408",31.0786628029744,37.1482867114251,34.4246000091452,90.3279735710895,76.3664508715198
"409",43.2837412771812,44.5084852912847,43.8292398205908,0,54.7243132320372
"410",33.2187856880407,37.8426512003545,30.4183813728842,0,0
"411",37.8795074726095,46.2741627807786,36.1870956739593,0,0
"412",35.7000882536032,38.2987761831374,30.8966283972568,0,0
"413",43.7957950525008,46.5421587944718,39.2827617563955,0,0
"414",0,0,0,0,0
"415",33.007781099402,36.3530817818241,38.056527511613,0,0
"416",29.5353525286183,31.3889960096956,30.5821593133005,0,30.6676875766246
"417",0,0,0,0,0
"418",41.8126163527271,49.7340264707118,41.4860543746873,0,0
"419",38.3659464459708,42.4522568033005,41.1619568275492,0,0
"420",24.8828221305477,28.4668555649196,25.5344656310959,0,0
"421",39.6844547774185,44.3791942412646,37.4417391538174,0,0
"422",31.8779407289111,37.6767053193094,37.2790764238936,79.1328539622916,74.6886015127276
"423",0,0,0,0,0
"424",39.53791573939,38.1502403153024,36.8667398112007,0,0
"425",34.4514975885451,34.5602171752288,38.180169578254,47.5447806508467,52.9068013238835
"426",31.1718334182158,37.7517014307965,42.9920554438,51.3533185372775,87.4096170079596
"427",36.4584648260651,42.6251402994127,40.252711920108,0,0
"428",32.5382627509446,29.6530480025462,31.9936358216774,0,0
"429",46.0171123247309,45.0851140816961,40.8199650386663,0,0
"430",36.8289308167752,38.0650783122979,37.5876985480718,0,0
"431",38.4021016050814,44.7691930912249,43.0969995619006,0,0
"432",44.353601847837,50.8144339401134,48.8335280028048,0,0
"433",36.9312990221764,34.9699068937273,43.9692262358166,65.0220698317951,62.1790762209162
"434",34.9326956102032,33.5230442206302,29.1667630747031,0,0
"435",32.76746605692,34.6715533827301,32.9762373516679,0,0
"436",26.6387487631464,34.0348698824346,30.2005459904227,0,41.7461807369375
"437",35.1374460973427,36.1966130332922,44.5671343302311,0,0
"438",32.6907332009235,35.048862394261,35.4044478437625,84.5838001806792,82.9493262075502
"439",31.9745797056093,30.9009541348502,32.6245608640393,83.1444382669192,61.8849274772977
"440",33.7568747012488,36.266786386673,37.9278206280739,83.0815632692231,99.5560440546866
"441",29.6453172862501,33.9693635623816,25.8822909874098,0,0
"442",31.7941683309453,35.0147920405974,28.7553571902662,0,0
"443",30.3552213961409,31.1806649929771,40.8373080798323,57.9227418748301,64.8987420377837
"444",35.1727546175087,39.0663818438127,43.8593759227115,71.2776827628214,66.4122488303904
"445",0,10.7765248528376,0,0,0
"446",35.4171092211802,33.0681031448651,31.7913707792413,0,0
"447",29.4560910627142,32.058585470669,29.3590061172849,0,0
"448",26.9105331791513,28.3424784280024,34.7787084132306,0,0
"449",27.8440538359315,29.6850582731812,26.529866392273,59.4204359362156,45.7736460837614
"450",36.0685489516966,40.5765523328319,45.2920964726699,69.0735322383714,55.7623618323438
"451",35.8207306615883,33.86749341973,36.5401167371188,0,0
"452",36.2575825900939,35.3324446291573,36.6291755610824,0,0
"453",0,0,0,0,0
"454",38.6103162357544,39.3763442978591,38.6103162357544,98.731645880057,74.6790386990164
"455",0,0,0,0,0
"456",39.4217422802772,43.3240038248936,43.099626117342,0,0
