"","age1.P","age2_no_comorbid.P","age2_comorbid.P","age3_no_comorbid.P","age3_comorbid.P"
"732",0,1,0,0,0
"733",0,1,0,0,0
"734",3,2,1,0,0
"735",3,2,1,1,0
"736",0,1,0,0,0
"737",1,1,0,0,0
"738",1,1,0,0,0
"739",21,15,4,1,3
"740",0,1,0,0,0
"741",0,1,0,0,0
"742",0,1,0,0,0
"743",11,11,3,1,2
"744",1,1,0,0,0
"745",2,1,1,0,0
"746",1,1,0,0,0
"747",19,14,5,3,2
"748",0,1,0,0,0
"749",0,1,1,0,0
"750",0,1,0,0,0
"751",1,1,0,1,0
"752",14,15,4,1,3
"753",1,1,0,0,1
"754",1,2,1,0,0
"755",0,2,0,0,0
"756",0,1,0,0,0
"757",0,1,0,0,0
"758",1,2,0,0,1
"759",20,20,4,2,2
"760",0,1,0,0,0
"761",0,1,0,0,1
"762",16,14,5,2,2
"763",2,2,1,0,1
"764",0,1,0,0,0
"765",3,2,1,0,0
"766",0,1,0,0,0
"767",1,1,1,0,0
"768",19,12,3,3,3
"769",19,14,6,3,3
"770",22,22,4,2,3
"771",0,1,0,0,0
"772",0,1,0,0,0
"773",20,19,4,2,2
"774",0,1,0,0,0
"775",13,11,3,2,2
"776",20,18,4,1,3
"777",1,1,1,0,0
"778",23,20,4,2,3
"779",0,1,0,0,0
"780",1,1,0,0,0
"781",0,1,0,0,0
"782",0,1,0,0,0
"783",0,1,0,0,0
"784",0,1,0,0,0
"785",30,28,6,2,3
"786",15,15,6,2,3
"787",17,14,5,2,2
"788",13,10,3,2,3
"789",18,20,3,2,3
"790",1,2,0,0,0
"791",2,1,0,0,0
"792",28,24,4,2,4
"793",25,15,3,2,2
"794",1,1,0,0,0
"795",0,1,0,0,0
"796",10,9,2,2,2
"797",0,1,0,0,0
"798",2,2,0,0,0
"799",27,22,5,1,3
"800",20,14,4,3,3
"801",14,16,3,2,2
"802",2,2,0,0,0
"803",13,12,4,1,2
"804",0,1,0,0,0
"805",0,1,0,0,0
"806",18,11,3,2,2
"807",2,1,0,0,0
"808",1,1,0,0,0
"809",0,1,0,0,0
"810",1,1,0,0,0
"811",14,9,4,3,3
"812",27,17,5,3,3
"813",18,13,4,2,2
"814",0,1,0,0,0
"815",11,8,4,1,1
"816",0,1,0,0,0
"817",2,2,0,0,0
"818",17,17,3,2,2
"819",9,12,2,1,2
"820",1,1,0,0,0
"821",0,1,0,0,0
"822",17,13,4,2,2
"823",22,19,5,2,2
"824",0,1,0,0,0
"825",24,19,8,2,3
"826",1,1,0,0,0
"827",0,1,0,0,0
"828",1,1,0,1,0
"829",1,1,0,0,0
"830",23,19,6,1,3
"831",2,1,1,0,0
"832",13,14,4,2,3
"833",1,1,0,0,0
"834",0,1,0,0,0
"835",0,1,0,0,0
"836",12,11,3,1,1
"837",14,14,4,2,2
"838",1,1,1,0,0
"839",1,1,0,0,0
"840",0,1,0,0,0
"841",27,19,5,2,4
"842",0,1,0,0,0
"843",15,15,4,2,3
"844",24,18,6,2,2
"845",0,1,0,0,0
"846",1,1,0,0,0
"847",0,1,0,0,0
"848",23,19,4,1,2
"849",1,1,0,0,0
"850",0,1,0,0,0
"851",0,1,1,0,0
"852",0,1,0,0,0
"853",0,1,0,0,0
"854",0,1,0,0,0
"855",9,9,4,1,2
"856",16,15,4,2,3
"857",0,1,0,1,0
"858",1,1,0,0,0
"859",2,1,0,0,0
"860",0,1,0,0,0
"861",24,24,5,1,2
"862",23,17,4,4,4
"863",2,2,0,0,0
"864",21,18,4,3,2
"865",20,16,8,2,3
"866",0,1,0,0,0
"867",18,14,5,1,2
"868",1,1,1,0,0
"869",15,12,4,3,2
"870",0,1,0,0,0
"871",2,3,1,0,0
"872",10,13,3,3,2
"873",1,1,0,0,0
"874",0,1,0,0,0
"875",0,1,0,0,0
"876",17,18,3,2,4
"877",1,2,0,0,0
"878",0,1,0,0,0
"879",1,1,0,0,0
"880",0,1,0,0,0
"881",18,12,4,2,2
"882",16,14,4,1,3
"883",19,17,4,2,2
"884",19,16,4,2,2
"885",0,1,0,0,0
"886",15,12,3,2,2
"887",2,2,0,0,0
"888",1,1,1,0,0
"889",1,2,0,0,0
"890",20,20,4,3,2
"891",1,2,1,0,0
"892",22,18,6,2,1
"893",0,1,0,0,0
"894",1,1,0,0,0
"895",3,2,1,1,1
"896",1,1,0,0,0
"897",0,1,0,0,0
"898",4,2,1,0,0
"899",0,1,0,0,0
"900",1,1,0,0,1
"901",16,11,4,2,2
"902",1,1,0,0,0
"903",13,11,4,1,2
"904",0,1,0,0,0
"905",13,18,3,1,2
"906",0,1,0,0,0
"907",0,1,0,0,0
"908",12,11,2,2,2
"909",0,1,0,0,0
"910",0,1,0,0,0
"911",0,2,1,0,1
"912",1,1,0,0,1
"913",0,1,0,0,0
"914",2,4,1,1,1
"915",25,20,5,2,2
"916",0,1,0,0,0
"917",20,16,3,3,3
"918",0,1,0,0,0
"919",0,1,0,0,0
"920",1,2,0,0,0
"921",26,17,6,1,2
"922",13,10,2,1,2
"923",0,1,0,0,0
"924",17,20,5,3,4
"925",0,1,0,0,0
"926",14,13,3,2,3
"927",1,1,1,1,0
"928",20,16,5,3,2
"929",20,17,5,2,2
"930",0,1,0,0,0
"931",0,1,0,0,0
"932",0,1,0,0,0
"933",0,2,0,0,0
"934",13,14,3,2,2
"935",18,16,4,2,3
"936",4,2,1,0,0
"937",0,1,0,0,0
"938",3,1,0,1,0
"939",0,2,0,0,0
"940",0,1,0,0,0
"941",1,1,0,0,0
"942",14,9,3,2,2
"943",12,14,4,2,2
"944",26,18,6,2,2
"945",0,1,0,0,0
"946",0,1,0,0,0
"947",0,1,1,0,0
"948",0,1,0,0,0
"949",14,11,4,2,3
"950",14,13,3,1,2
"951",0,1,0,0,0
"952",15,11,4,2,2
"953",20,13,3,2,1
"954",1,1,0,0,0
"955",12,11,3,1,2
"956",1,1,0,0,0
"957",25,20,5,2,3
"958",0,1,0,0,0
