"","age1_orange.H","age2_no_comorbid_orange.H","age2_comorbid_green.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"939",21,22,7,3,12
"940",15,27,5,2,10
"941",17,22,10,4,10
"942",20,15,0,0,0
"943",19,23,0,0,0
"944",26,27,0,0,0
"945",0,0,0,0,0
"946",0,0,0,0,0
"947",0,0,0,0,0
"948",0,0,0,0,0
"949",15,19,9,1,9
"950",0,0,0,0,0
"951",22,23,0,0,0
"952",21,19,0,0,0
"953",18,22,6,2,8
"954",0,0,0,0,0
"955",19,21,6,3,6
"956",25,17,8,3,6
"957",20,20,7,4,7
"958",26,18,0,0,0
"959",20,24,0,0,0
"960",10,19,10,4,9
"961",0,1,0,0,0
"962",22,14,9,2,8
"963",0,0,0,0,0
"964",0,0,0,0,0
"965",17,20,0,0,0
"966",22,17,0,0,0
"967",15,22,0,0,0
"968",0,0,0,0,0
"969",17,16,5,3,11
"970",20,20,8,5,10
"971",17,22,4,3,7
"972",12,21,6,4,12
"973",15,24,9,1,6
"974",25,28,0,0,0
"975",17,15,0,0,0
"976",26,21,0,0,0
"977",13,15,11,3,7
"978",22,19,9,3,12
"979",18,24,11,2,7
"980",15,22,6,3,8
"981",18,17,8,2,5
"982",0,0,0,0,0
"983",0,0,0,0,0
"984",20,22,0,0,0
"985",17,18,0,0,0
"986",18,20,0,0,0
"987",20,18,7,1,8
"988",0,1,0,0,0
"989",18,18,9,3,3
"990",14,26,14,2,8
"991",21,20,13,3,7
"992",14,26,10,3,9
"993",0,0,0,0,0
"994",21,20,6,3,9
"995",19,30,10,2,8
"996",16,24,0,0,0
"997",14,19,0,0,0
"998",18,20,10,2,6
"999",13,21,0,0,0
"1000",19,21,0,0,1
"1001",21,18,0,0,0
"1002",0,0,0,0,0
"1003",0,0,0,0,0
"1004",16,26,6,3,9
"1005",20,24,9,2,9
"1006",0,0,0,0,0
"1007",18,23,7,4,6
"1008",25,19,8,3,10
"1009",0,0,0,0,0
"1010",21,24,12,1,9
"1011",0,0,0,0,0
"1012",14,17,0,0,0
"1013",20,25,0,0,0
"1014",18,23,6,2,7
"1015",19,19,6,2,8
"1016",0,0,0,0,0
"1017",25,24,12,3,6
"1018",28,20,6,3,6
"1019",16,18,7,3,10
"1020",20,17,0,0,0
"1021",21,28,8,2,7
"1022",21,16,10,3,8
"1023",18,24,10,3,7
"1024",17,12,0,0,0
"1025",19,23,6,2,9
"1026",0,1,0,0,0
"1027",17,24,5,4,10
"1028",21,26,11,3,9
"1029",0,0,0,0,0
"1030",18,15,0,0,0
"1031",22,22,9,4,7
"1032",19,19,7,2,6
"1033",15,18,0,0,0
"1034",14,18,7,3,8
"1035",25,26,0,0,0
"1036",18,21,12,3,10
"1037",20,16,0,0,0
"1038",18,18,8,3,10
"1039",22,24,0,0,0
"1040",17,19,7,3,7
"1041",20,19,6,3,5
"1042",0,0,0,0,0
"1043",17,26,7,5,10
"1044",22,17,0,0,0
"1045",20,23,9,2,10
"1046",14,21,10,2,8
"1047",22,27,0,0,0
"1048",16,16,0,0,0
"1049",17,18,0,0,0
"1050",22,19,10,2,8
"1051",23,18,0,0,0
