"","age1_orange.R","age2_no_comorbid_orange.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"407",751,811,83,33,25
"408",767,841,2,1,0
"409",748,828,0,0,0
"410",0,1,0,0,0
"411",758,830,4,0,1
"412",750,812,78,26,22
"413",742,829,91,19,22
"414",746,830,84,27,25
"415",756,822,79,27,23
"416",763,837,82,32,30
"417",755,832,79,30,28
"418",744,829,76,25,19
"419",749,829,86,28,22
"420",762,825,87,27,25
"421",0,1,0,0,0
"422",739,832,71,23,18
"423",738,810,81,30,28
"424",752,829,89,26,24
"425",753,822,85,31,26
"426",757,797,0,0,0
"427",747,819,0,0,0
"428",751,837,0,0,0
"429",747,802,89,32,16
"430",741,823,84,27,37
"431",758,812,89,29,23
"432",0,1,0,0,0
"433",752,805,84,24,22
"434",763,814,89,31,32
"435",748,818,84,28,23
"436",756,821,83,29,24
"437",753,818,88,23,29
"438",749,832,87,24,23
"439",766,808,80,28,32
"440",750,804,0,0,1
"441",740,817,87,27,25
"442",0,1,0,0,0
"443",748,800,1,0,0
"444",760,835,86,29,29
"445",753,829,92,33,23
"446",744,822,1,0,0
"447",763,806,78,28,26
"448",750,814,81,27,26
"449",748,828,84,28,29
"450",750,803,0,0,0
"451",0,1,0,0,0
"452",748,829,84,28,20
"453",759,821,0,0,0
"454",755,824,0,0,0
"455",757,813,82,26,30
"456",753,802,85,24,27
"457",0,1,0,0,0
"458",758,833,85,25,18
"459",734,814,82,28,22
"460",743,835,82,23,29
"461",741,836,83,27,25
"462",757,822,0,0,0
"463",758,815,0,0,0
"464",0,1,0,0,0
"465",752,825,82,25,24
"466",737,814,0,0,0
"467",755,823,83,24,23
"468",738,821,90,32,19
"469",741,832,0,0,0
"470",739,800,79,35,19
"471",762,832,82,28,25
"472",750,817,82,25,22
"473",753,824,83,25,24
"474",754,804,76,32,19
"475",747,817,91,34,21
"476",748,813,89,30,19
"477",751,810,86,34,23
"478",752,824,89,27,25
"479",758,823,86,26,25
"480",758,819,74,28,31
"481",747,832,0,0,0
"482",747,825,89,29,30
"483",748,839,84,34,20
"484",755,818,80,27,29
"485",0,1,0,0,0
"486",754,824,2,1,0
"487",746,827,88,23,22
"488",0,1,0,0,0
"489",757,823,1,0,1
"490",0,1,0,0,0
"491",0,1,0,0,0
"492",734,835,76,25,25
"493",751,834,85,27,27
"494",751,840,92,33,27
"495",746,835,82,28,21
"496",767,828,87,22,19
"497",742,791,86,29,24
"498",749,822,85,29,35
"499",744,817,83,23,29
"500",751,828,0,0,1
"501",752,822,88,28,29
"502",752,811,0,0,0
"503",745,824,85,27,24
"504",764,828,0,0,0
"505",744,823,97,30,22
"506",741,812,0,0,0
"507",752,813,96,27,24
"508",1,1,0,0,0
"509",749,834,0,0,0
"510",750,837,84,25,22
"511",747,795,86,34,28
"512",764,805,78,26,28
"513",0,1,0,0,0
"514",755,834,85,31,29
"515",750,809,86,27,28
"516",750,826,0,0,0
"517",752,807,90,34,20
"518",741,794,0,0,0
"519",751,809,78,33,28
"520",746,833,74,25,29
"521",751,812,0,0,0
"522",753,833,78,30,26
"523",737,825,80,26,22
"524",749,815,68,29,23
"525",755,818,79,27,32
"526",746,814,84,30,28
"527",745,811,82,29,22
