"","age1_orange.E","age2_no_comorbid_orange.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"927",29.8793353026409,29.991840827947,46.8130250928766,57.3561482516646,55.1524373635613
"928",0,0,0,0,0
"929",25.2058499940525,25.6682430712446,42.8236308362046,49.72064046054,46.5164957919772
"930",43.892064077417,45.7464794528086,83.5606286996964,80.4302908806364,83.8719381270864
"931",31.0564458455109,31.8276137023954,70.4452186072121,68.6492578845189,59.9542014452119
"932",30.4949242956715,30.6408255073336,61.294079212299,57.5482429284954,63.3734221788295
"933",0,0,0,0,0
"934",35.2557413894587,39.1872493207434,92.9784929989497,115.037281697349,97.0387638863498
"935",34.8562628606255,36.8227660392013,0,0,0
"936",26.5580731723702,26.9270525313712,0,0,0
"937",28.5103421081025,30.2742781513739,62.0517768698201,57.5990098254136,64.320580958406
"938",31.0575806337172,33.300031547395,52.7885967239077,64.466247943273,61.6697081843406
"939",29.3967871005863,31.2781697427988,57.6783787717016,63.6528521237716,52.1168469846754
"940",34.5328706372837,35.6785164561874,60.3723109539699,56.1737539942642,62.9976604515135
"941",27.9322425735723,23.8675488865095,36.9091310389621,46.9107637762275,60.6584507301811
"942",30.2576251655907,33.2514692081781,0,0,0
"943",26.419085176346,26.5179451637149,0,0,0
"944",33.8918278172409,34.1257381034565,0,0,0
"945",0,0,0,0,0
"946",0,0,0,0,0
"947",0,0,0,0,0
"948",0,0,0,0,0
"949",21.2729596857336,22.4107585751666,48.327375918182,47.0927405345352,50.8379640026879
"950",0,0,0,0,0
"951",30.6154036146969,30.6154036146969,26.0161620501479,0,33.4733113593
"952",33.458016192468,36.3040411525371,0,0,0
"953",27.4648588083854,31.5007672290945,86.79813788439,99.9484378510787,92.0415619270426
"954",0,0,0,0,0
"955",24.0444855165766,25.077691525525,66.7150438250724,55.2010606374991,72.3073939689382
"956",30.320207870267,35.2522506898925,60.209595386402,49.6503840824288,56.1361098723516
"957",28.0016145275831,32.3707250458601,56.139018546145,57.326732269676,57.399341696969
"958",36.5408189758786,38.3736867687649,0,0,0
"959",27.4395300703643,27.613249958608,0,0,0
"960",41.444523726233,40.8449896820012,71.871685948163,70.9705430846377,71.8831980378342
"961",0,0,0,0,0
"962",39.8302469054615,41.6551407154887,65.9388862247601,60.8338752858755,69.1181602993884
"963",3.86019294197608,0,0,0,0
"964",0,0,0,0,0
"965",26.3350785241781,29.8254177953958,36.6290276889183,0,0
"966",35.9053727188176,38.1220618832521,0,0,0
"967",25.1267456356732,28.1686360976372,13.5609134473529,0,0
"968",0,0,0,0,0
"969",23.7138742150403,24.4341367970512,61.0922790465991,62.8455562843663,64.5796670249501
"970",27.5495844182098,28.1176115356824,55.3379026466577,47.6059093199048,54.6094857435418
"971",33.5300981828612,33.0166105281975,50.8379870004914,52.6097970961309,48.1050855595694
"972",40.5411550457229,41.5412058311533,66.3367966633682,62.4925898506878,77.8758269855677
"973",38.1868228177265,39.1573725730656,62.3594930096734,57.5127075188171,58.1718611793352
"974",22.0802384584936,24.0618494879058,0,0,0
"975",39.7266589223822,39.7266589223822,0,0,0
"976",33.473657385314,34.0079443832466,0,0,0
"977",34.1417199038544,34.3948296463847,73.2330875311546,69.4752147721126,71.5007184938779
"978",27.8942916523149,30.1750890651335,58.1094033580466,62.6418153794601,59.7977282610183
"979",24.0259396880762,24.3322423226332,68.4701445613339,53.154921999823,56.3777785118362
"980",26.5982608982372,30.438930612846,47.2945148321155,49.6685085483937,50.8592895452165
"981",38.0940288197193,38.8587021167189,63.0160863549419,70.1269779591563,65.9124156109438
"982",0,0,0,0,0
"983",0,0,0,0,0
"984",26.2623452881869,26.1972124208761,0,0,0
"985",24.1234107447695,26.7020909096937,0,0,0
"986",33.8040299220182,36.446161571916,0,0,0
"987",26.5457403436847,26.9729115925353,59.2460361623544,60.8581278048354,60.6314354619398
"988",0,0,0,0,0
"989",27.3823108978279,27.1166809980132,48.3134071086786,53.421401954873,52.0901803492077
"990",25.1433718794988,28.5591714730707,48.6574948407902,46.5176138269381,46.6837365052648
"991",29.6049394865591,32.2808287135383,54.2905866625443,56.8515793629966,50.7127448560864
"992",29.0967587936508,33.7300863499057,75.2148050339831,66.2991134598548,72.8224520711182
"993",0,0,0,0,0
"994",32.2111590240674,31.3290163708699,56.6612653691869,57.6822398559216,50.1438362269668
"995",28.5450469417005,31.9930872296766,66.7115007570816,58.1071301479565,62.5058473374672
"996",26.3463418306566,29.1573734425726,0,0,0
"997",31.5098537189351,33.7398597657941,0,0,0
"998",25.3710326840747,24.836631248078,51.1067153787579,57.4414298445662,51.7965857078141
"999",21.5144745466363,25.861244673736,0,0,0
"1000",31.7192563503615,32.8913579147476,0,0,38.1166313231998
"1001",48.613145425239,53.3999701637831,0,0,0
"1002",0,0,0,0,0
"1003",0,0,0,0,0
"1004",36.5325181583903,40.1593907546361,101.505936384878,96.8854393771038,95.5452141831824
"1005",36.0435453501502,36.6765458897277,72.880439289383,65.7042160763585,65.9582653739381
"1006",0,0,0,0,0
"1007",29.1768594771091,30.9823102891488,66.4457379250496,55.7241362533781,58.8664076471022
"1008",30.7635200195956,33.0597399368174,48.7306221036642,49.4902214008905,47.1248504687911
"1009",0,0,0,0,0
