"","age1_orange.A","age2_no_comorbid_orange.A","age2_comorbid_green.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"818",0,0,0,0,0
"819",42,44,6,4,4
"820",58,39,5,3,1
"821",50,66,8,2,5
"822",42,51,0,0,0
"823",53,49,8,2,3
"824",50,43,5,1,4
"825",54,42,7,3,5
"826",56,48,0,0,0
"827",50,53,7,3,6
"828",46,43,5,1,4
"829",50,52,0,0,0
"830",52,51,7,1,5
"831",51,49,0,0,0
"832",0,0,0,0,0
"833",44,56,7,2,1
"834",41,40,0,0,0
"835",0,0,0,0,0
"836",45,49,5,2,2
"837",0,0,0,0,0
"838",53,43,0,0,0
"839",45,56,0,0,0
"840",38,58,0,0,0
"841",57,49,5,2,1
"842",0,0,0,0,0
"843",49,35,0,0,0
"844",1,1,0,0,0
"845",0,0,0,0,0
"846",35,41,8,3,4
"847",40,45,8,3,5
"848",0,0,0,0,0
"849",55,50,0,0,0
"850",30,45,5,2,4
"851",47,48,9,3,7
"852",48,43,6,2,3
"853",36,49,4,4,5
"854",37,39,8,2,3
"855",44,44,7,3,4
"856",54,46,0,0,0
"857",38,52,7,2,4
"858",54,46,0,0,0
"859",47,48,6,3,3
"860",51,43,7,2,2
"861",39,51,0,0,0
"862",47,53,4,2,4
"863",45,52,0,0,0
"864",43,53,8,1,7
"865",50,50,4,3,8
"866",0,1,0,0,0
"867",35,48,0,0,0
"868",49,46,0,0,0
"869",45,57,6,3,4
"870",0,0,0,0,0
"871",0,0,0,0,0
"872",58,48,2,2,4
"873",36,39,8,2,2
"874",42,40,3,1,2
"875",39,44,0,0,0
"876",42,46,8,2,2
"877",44,57,13,2,3
"878",51,52,0,0,0
"879",59,45,0,0,0
"880",38,51,6,3,4
"881",48,49,8,3,4
"882",0,1,0,0,0
"883",47,47,6,2,2
"884",1,0,0,0,0
"885",40,48,4,2,4
"886",46,56,7,3,2
"887",40,48,8,2,4
"888",45,46,5,5,2
"889",56,50,7,2,4
"890",50,44,5,2,3
"891",39,49,0,0,0
"892",45,46,5,3,2
"893",45,46,5,3,3
"894",0,1,0,0,0
"895",46,41,5,2,4
"896",50,56,0,0,0
"897",49,50,4,2,2
"898",49,40,10,4,2
"899",34,44,0,0,0
"900",55,44,5,1,2
"901",0,0,0,0,0
"902",51,49,5,2,3
"903",43,41,5,1,4
"904",47,51,9,3,5
"905",48,43,0,0,0
"906",49,55,8,4,4
"907",50,45,0,0,0
"908",44,50,8,3,5
"909",41,56,5,3,2
"910",51,49,8,4,6
"911",52,50,0,0,0
"912",49,42,0,0,0
"913",39,48,0,0,0
"914",40,60,0,0,0
"915",45,42,5,2,4
"916",42,40,7,3,3
"917",0,0,0,0,0
"918",43,53,0,0,0
"919",50,48,7,5,4
"920",0,0,0,0,0
"921",44,47,4,2,6
"922",52,50,10,3,5
"923",49,43,8,3,6
"924",41,50,0,0,0
"925",30,55,6,5,8
"926",53,43,0,0,0
"927",52,50,8,2,3
"928",0,0,0,0,0
"929",38,47,7,2,4
"930",49,63,3,1,2
"931",42,57,5,2,2
"932",51,54,6,2,3
"933",0,0,0,0,0
"934",50,51,4,2,3
"935",45,57,0,0,0
"936",53,47,0,0,0
"937",50,63,6,2,6
"938",40,37,4,4,6
"939",43,50,6,2,2
"940",57,48,6,2,3
"941",42,40,7,4,6
"942",54,60,0,0,0
"943",43,61,0,0,0
"944",50,42,0,0,0
"945",0,0,0,0,0
"946",0,0,0,0,0
"947",0,0,0,0,0
"948",0,0,0,0,0
"949",56,38,7,2,3
"950",0,0,0,0,0
"951",48,50,1,0,0
"952",44,44,0,0,0
"953",39,54,6,2,4
"954",0,0,0,0,0
"955",53,51,5,1,3
"956",47,54,10,2,4
"957",43,49,6,1,3
"958",53,47,0,0,0
"959",43,37,0,0,0
"960",49,54,8,3,4
"961",0,0,0,0,0
"962",47,57,8,4,5
"963",0,0,0,0,0
"964",0,0,0,0,0
"965",55,63,0,0,0
"966",49,53,0,0,0
"967",42,35,1,0,0
"968",0,1,0,0,0
"969",62,47,6,2,6
"970",49,50,7,3,4
"971",53,52,7,2,5
"972",37,44,8,2,4
"973",48,54,5,2,8
"974",40,52,0,0,0
"975",43,41,0,0,0
"976",46,53,0,0,0
"977",41,42,7,2,3
"978",39,44,8,2,7
"979",47,47,8,3,2
"980",47,46,11,2,4
"981",45,52,5,4,5
"982",0,1,0,0,0
"983",0,0,0,0,0
"984",52,42,0,0,0
"985",48,49,0,0,0
"986",44,48,0,0,0
"987",48,52,6,3,4
"988",0,0,0,0,0
"989",51,43,4,1,4
"990",51,62,7,4,5
"991",48,54,10,4,5
"992",54,52,10,3,2
"993",0,0,0,0,0
"994",46,57,4,3,5
"995",43,50,7,2,6
"996",53,53,0,0,0
"997",56,54,0,0,0
"998",56,43,8,4,3
"999",51,58,0,0,0
"1000",51,56,0,0,0
"1001",55,43,0,0,0
"1002",0,0,0,0,0
"1003",0,0,0,0,0
"1004",43,72,5,2,2
"1005",49,55,10,2,4
"1006",0,1,0,0,0
"1007",35,47,5,2,4
"1008",54,55,9,2,4
"1009",0,0,0,0,0
"1010",40,39,7,3,5
"1011",0,0,0,0,0
"1012",50,45,0,0,0
"1013",45,51,0,0,0
"1014",46,58,7,2,3
"1015",38,54,5,3,2
"1016",0,0,0,0,0
"1017",44,48,10,3,3
"1018",43,44,5,3,4
"1019",53,53,4,3,4
"1020",44,46,0,0,0
"1021",47,49,6,4,5
"1022",48,44,6,2,4
"1023",49,54,7,3,2
"1024",46,55,1,0,0
"1025",44,37,6,4,4
"1026",0,0,0,0,0
"1027",49,47,7,3,4
"1028",47,39,7,3,3
"1029",0,1,0,0,0
"1030",46,48,0,0,0
"1031",48,50,3,3,3
"1032",38,48,6,3,6
"1033",50,46,0,0,0
"1034",41,53,6,3,5
"1035",41,50,0,0,0
"1036",58,55,8,4,5
"1037",45,46,0,0,0
"1038",44,55,8,3,4
"1039",42,55,0,0,0
"1040",50,48,5,2,5
"1041",47,44,6,3,4
"1042",0,0,0,0,0
"1043",51,55,7,2,2
"1044",39,37,1,0,0
"1045",53,45,11,4,5
"1046",53,46,8,2,3
"1047",43,50,1,0,0
"1048",48,44,0,0,0
"1049",51,55,0,0,0
"1050",69,50,6,4,6
"1051",40,44,0,0,0
"1052",37,46,7,1,5
"1053",44,64,7,3,3
