"","age1.S","age2_no_comorbid.S","age2_comorbid.S","age3_no_comorbid.S","age3_comorbid.S"
"583",814,941,125,44,75
"584",353,594,79,34,53
"585",814,941,125,44,75
"586",814,941,125,44,75
"587",804,938,124,44,74
"588",811,938,125,44,75
"589",305,519,70,26,53
"590",315,502,77,28,55
"591",814,941,125,44,75
"592",814,941,125,44,75
"593",286,481,74,27,51
"594",814,941,125,44,75
"595",814,941,125,44,75
"596",814,941,124,44,75
"597",808,938,125,44,74
"598",813,941,125,44,75
"599",814,940,124,44,75
"600",798,939,124,43,75
"601",294,488,63,30,51
"602",813,941,125,44,75
"603",814,941,124,44,75
"604",814,940,124,44,75
"605",364,562,72,29,59
"606",325,544,74,33,53
"607",260,523,64,28,40
"608",813,941,125,44,75
"609",814,941,125,44,75
"610",814,941,125,44,75
"611",814,941,125,44,75
"612",383,610,82,31,52
"613",297,541,71,37,52
"614",813,940,124,44,75
"615",814,941,125,44,75
"616",813,941,124,44,75
"617",814,941,125,44,75
"618",803,929,123,43,74
"619",402,638,81,35,53
"620",814,941,125,44,75
"621",814,941,125,44,75
"622",373,594,76,26,50
"623",814,941,125,44,75
"624",306,522,75,24,45
"625",814,941,125,44,75
"626",814,940,125,44,75
"627",814,941,125,44,75
"628",814,941,125,44,75
"629",814,941,125,44,75
"630",812,939,125,44,75
"631",814,941,125,44,75
"632",762,917,118,44,73
"633",814,941,125,44,75
"634",814,941,125,44,75
"635",814,939,125,44,75
"636",814,941,125,44,75
"637",346,593,87,32,51
"638",289,484,73,29,42
"639",814,941,125,44,75
"640",787,933,122,43,74
"641",814,941,125,44,75
"642",814,941,125,44,75
"643",814,941,125,44,75
"644",811,938,125,44,75
"645",813,941,125,44,75
"646",294,521,71,29,49
"647",372,591,81,33,57
"648",248,447,61,24,54
"649",814,941,125,44,75
"650",272,470,62,28,54
"651",291,502,72,34,42
"652",722,879,114,43,72
"653",814,941,125,44,75
"654",811,939,125,44,75
"655",814,941,125,44,75
"656",814,941,125,44,75
"657",814,941,125,44,75
"658",814,941,125,44,75
"659",814,941,125,44,75
"660",426,645,82,35,61
"661",807,934,124,44,75
"662",814,941,125,44,75
"663",341,547,68,35,49
"664",808,936,125,44,75
"665",316,550,74,28,57
"666",771,916,117,42,74
"667",301,513,72,30,48
"668",353,563,66,29,54
"669",814,941,125,44,75
"670",813,940,125,43,75
"671",315,530,60,29,45
"672",807,935,125,43,75
"673",813,939,125,44,75
"674",813,941,125,44,75
"675",395,615,79,33,57
"676",814,941,125,44,75
"677",813,941,124,44,75
"678",802,937,125,44,75
"679",814,941,125,44,75
"680",319,545,77,34,55
"681",814,941,125,44,75
"682",322,571,76,29,50
"683",808,937,124,44,75
"684",814,941,125,44,75
"685",810,941,125,44,75
"686",814,941,125,44,75
"687",814,940,125,44,75
"688",813,941,125,44,75
"689",346,559,77,32,50
"690",814,940,125,44,75
"691",814,941,125,44,75
"692",326,562,67,32,53
"693",265,487,63,28,47
"694",814,941,125,44,75
"695",814,941,125,44,75
"696",814,941,125,44,75
"697",814,941,125,44,75
"698",814,941,125,44,75
"699",472,658,87,32,57
"700",350,550,77,25,50
"701",814,941,125,44,75
"702",814,941,125,44,75
"703",814,941,125,44,75
"704",814,941,125,44,75
"705",361,541,65,34,56
"706",291,503,77,29,49
"707",289,518,69,25,49
"708",299,536,77,31,46
"709",812,940,125,44,75
"710",310,538,66,30,53
"711",814,940,125,44,75
"712",279,516,64,34,54
"713",814,941,125,44,75
"714",265,480,67,33,52
"715",265,482,68,25,49
"716",342,578,73,31,47
"717",814,941,125,44,75
"718",799,925,124,44,75
"719",458,642,80,37,60
"720",341,555,77,29,55
"721",254,431,56,35,54
"722",275,502,60,31,52
"723",814,941,125,44,75
"724",810,930,124,43,75
"725",814,941,125,44,75
"726",814,940,125,44,75
"727",814,941,125,44,75
"728",814,941,125,44,75
"729",492,702,97,37,60
"730",811,938,124,44,75
"731",814,941,125,44,75
"732",813,940,125,44,75
"733",814,940,125,44,75
"734",487,686,84,38,61
"735",814,941,125,44,75
"736",813,941,125,44,75
"737",253,519,65,29,47
"738",814,941,125,44,75
"739",814,940,125,44,75
"740",577,758,102,40,66
"741",814,941,125,44,74
"742",390,626,79,36,64
"743",371,572,79,28,57
"744",264,495,66,31,50
"745",280,516,76,27,50
"746",813,941,124,44,75
"747",814,941,125,44,75
"748",814,941,125,44,75
"749",814,941,125,44,75
"750",297,535,80,29,52
"751",814,941,125,44,75
"752",814,941,125,44,75
"753",813,940,125,44,75
"754",811,938,125,44,75
"755",813,939,125,44,75
"756",813,941,125,44,75
"757",814,941,125,44,75
"758",814,941,125,44,75
"759",807,937,124,44,74
"760",814,941,125,44,75
"761",814,941,125,44,75
"762",814,941,125,44,75
"763",799,931,124,44,74
"764",793,927,118,44,74
"765",814,941,125,44,75
"766",310,521,78,32,47
"767",367,576,70,36,62
"768",814,941,125,44,75
"769",812,938,125,44,75
"770",313,515,78,38,56
"771",814,941,125,44,75
"772",812,939,125,44,75
"773",814,941,125,43,75
