"","age1.O","age2_no_comorbid.O","age2_comorbid.O","age3_no_comorbid.O","age3_comorbid.O"
"761",0,1,0,0,0
"762",0,0,0,0,0
"763",4,3,1,0,1
"764",3,3,2,0,0
"765",0,0,0,0,0
"766",34,33,4,3,3
"767",39,30,7,1,3
"768",0,1,0,0,0
"769",1,2,0,0,0
"770",38,39,4,1,2
"771",0,1,0,0,0
"772",1,1,0,0,0
"773",0,1,0,1,0
"774",0,0,0,0,0
"775",0,1,0,0,0
"776",27,23,5,3,5
"777",49,33,4,3,2
"778",24,17,4,1,2
"779",38,42,5,2,2
"780",40,35,8,2,2
"781",37,31,5,2,3
"782",0,1,0,0,0
"783",0,1,0,0,0
"784",20,22,4,1,2
"785",0,0,0,0,0
"786",35,26,5,4,2
"787",0,1,0,0,0
"788",1,1,0,0,0
"789",21,19,3,1,2
"790",0,1,0,0,0
"791",0,1,0,0,0
"792",0,0,0,0,0
"793",1,0,0,0,0
"794",1,1,0,0,0
"795",1,1,0,0,0
"796",1,2,1,0,0
"797",0,1,0,0,0
"798",39,36,6,2,3
"799",1,0,1,0,0
"800",0,1,0,0,0
"801",36,33,4,3,3
"802",0,0,0,0,0
"803",1,1,1,0,0
"804",4,6,1,1,1
"805",2,1,0,0,0
"806",38,36,6,3,2
"807",0,1,0,0,0
"808",0,0,0,0,0
"809",26,25,4,2,2
"810",2,2,0,1,0
"811",1,1,0,0,0
"812",0,1,0,0,0
"813",0,1,0,0,0
"814",0,2,0,0,0
"815",1,2,0,0,0
"816",1,1,0,0,0
"817",0,0,0,0,0
"818",0,1,0,0,0
"819",0,1,0,0,0
"820",3,1,1,0,0
"821",0,1,0,0,0
"822",24,23,3,2,2
"823",34,32,5,2,3
"824",43,36,6,4,2
"825",1,2,0,0,0
"826",0,1,0,0,0
"827",0,2,0,0,0
"828",0,1,1,0,0
"829",32,20,4,0,1
"830",4,1,1,0,0
"831",0,1,0,0,1
"832",23,24,3,2,2
"833",0,1,0,0,0
"834",0,0,0,0,0
"835",0,1,0,0,0
"836",0,0,0,0,0
"837",4,1,0,0,0
"838",1,1,0,0,0
"839",2,1,0,0,0
"840",0,1,0,0,0
"841",0,1,0,0,0
"842",46,31,5,3,2
"843",41,29,4,2,3
"844",0,1,0,0,0
"845",29,25,4,2,2
"846",0,1,0,0,0
"847",23,22,3,2,3
"848",1,1,1,0,1
"849",0,0,0,0,0
"850",40,43,5,2,2
"851",53,45,5,4,3
"852",3,2,1,1,0
"853",0,0,0,0,0
"854",0,1,0,0,0
"855",25,30,6,3,2
"856",2,1,0,0,0
"857",0,1,0,0,0
"858",0,0,0,0,0
"859",1,1,0,0,0
"860",25,15,5,2,2
"861",3,3,1,0,0
"862",25,21,5,3,2
"863",0,1,0,0,0
"864",27,28,4,2,3
"865",0,1,0,0,0
"866",0,1,0,0,0
"867",31,23,6,2,2
"868",25,26,3,3,2
"869",0,1,0,0,0
"870",11,16,2,1,2
"871",1,3,1,0,1
"872",1,1,0,0,0
"873",46,26,5,2,2
"874",33,33,6,2,1
"875",28,26,4,2,4
"876",0,1,0,0,0
"877",0,1,0,0,0
"878",39,32,4,2,3
"879",1,1,0,0,0
"880",0,1,0,0,0
"881",0,1,0,0,0
"882",2,1,1,0,0
"883",42,32,8,1,2
"884",26,29,5,3,2
"885",25,19,4,1,2
"886",1,1,0,0,0
"887",0,1,0,0,0
"888",1,1,0,0,0
"889",2,1,0,0,0
"890",2,1,0,0,0
"891",0,2,0,0,0
"892",0,1,0,0,0
"893",0,2,0,0,0
"894",0,0,0,0,0
"895",4,2,1,0,0
"896",1,3,0,0,0
"897",0,1,0,0,0
"898",0,1,0,0,0
"899",0,1,0,0,0
"900",1,2,0,0,0
"901",0,0,0,0,0
"902",0,2,0,0,0
"903",0,1,1,0,0
"904",0,0,0,0,0
"905",0,1,0,0,0
"906",36,28,5,2,2
"907",1,2,0,1,0
"908",47,34,8,3,2
"909",0,1,0,0,0
"910",50,40,5,2,3
"911",41,36,4,2,3
"912",0,0,0,0,0
"913",1,2,1,0,0
"914",18,14,4,2,2
"915",36,36,6,2,3
"916",1,1,0,0,0
"917",0,1,0,0,0
"918",32,25,5,2,3
"919",0,1,0,0,0
"920",50,42,7,3,3
"921",0,1,0,0,0
"922",30,24,5,2,2
"923",1,1,0,0,0
"924",0,1,0,0,0
"925",0,1,0,0,0
"926",0,1,0,0,0
"927",1,1,0,0,0
"928",3,2,1,1,1
"929",0,1,0,0,0
"930",0,1,0,0,0
"931",18,17,2,1,2
"932",0,0,0,0,0
"933",0,1,0,0,0
"934",35,30,4,3,3
"935",52,33,6,3,3
"936",0,0,0,0,0
"937",0,1,0,0,0
"938",48,31,5,2,3
"939",0,0,0,0,0
"940",2,1,0,0,0
"941",0,0,0,0,0
"942",1,1,0,0,0
"943",25,21,5,1,3
"944",0,0,0,0,0
"945",0,0,0,0,0
"946",41,33,5,4,2
"947",2,1,1,0,0
"948",0,1,0,0,0
"949",26,20,6,1,3
"950",0,1,0,0,0
"951",0,1,0,0,0
"952",0,1,0,0,0
"953",25,24,5,2,2
"954",0,1,0,0,0
"955",1,1,0,0,0
"956",54,36,4,2,4
"957",0,1,0,0,0
"958",2,3,1,0,0
"959",1,2,0,0,0
"960",15,11,3,1,2
"961",34,25,5,2,3
"962",3,2,0,0,1
"963",33,28,4,3,2
