"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"447",62,3,78,7,24,10,42
"448",0,0,0,0,0,0,0
"449",58,0,70,0,0,0,0
"450",49,3,73,9,34,9,39
"451",57,5,69,11,41,6,42
"452",70,4,62,6,39,7,43
"453",44,4,72,9,32,11,37
"454",49,2,69,9,34,7,36
"455",0,0,0,0,0,0,0
"456",60,7,77,7,37,12,34
"457",0,0,0,0,0,0,0
"458",53,4,69,4,27,11,39
"459",51,3,71,7,35,9,35
"460",68,4,70,6,37,4,39
"461",47,5,80,7,33,9,43
"462",60,7,65,7,40,8,36
"463",50,3,73,5,35,10,34
"464",49,10,73,8,34,10,40
"465",50,4,67,4,36,11,38
"466",55,0,66,0,0,0,0
"467",56,5,85,8,32,7,34
"468",55,0,77,0,0,0,0
"469",59,3,68,8,23,6,43
"470",45,2,73,9,23,10,50
"471",0,0,0,0,0,0,0
"472",0,0,0,0,0,0,0
"473",68,6,64,6,25,7,43
"474",60,5,78,8,31,15,43
"475",0,0,0,0,0,0,0
"476",53,5,61,11,34,16,36
"477",50,2,73,7,33,11,34
"478",62,2,65,8,46,6,48
"479",50,6,84,8,33,5,37
"480",56,5,78,12,41,10,41
"481",44,2,75,12,31,9,37
"482",48,0,75,0,0,0,1
"483",0,0,0,0,0,0,0
"484",65,3,66,12,38,10,38
"485",59,5,77,5,26,13,42
"486",65,5,86,6,32,14,42
"487",63,8,68,7,35,5,38
"488",59,8,84,5,33,8,31
"489",63,0,86,0,0,0,0
"490",52,3,69,10,42,7,35
"491",51,6,57,10,35,4,37
"492",65,4,75,8,38,5,47
"493",61,6,71,12,31,12,45
"494",59,4,70,10,37,10,49
"495",53,3,66,2,33,6,35
"496",49,7,71,4,34,16,38
"497",47,7,70,10,40,14,39
"498",58,5,65,8,38,11,33
"499",59,3,66,9,41,13,44
"500",48,3,69,9,26,5,39
"501",0,0,0,0,0,0,0
"502",59,4,84,5,38,8,44
"503",62,3,70,6,33,11,37
"504",41,2,75,10,41,6,26
"505",69,3,74,8,33,7,33
"506",54,4,65,10,33,8,38
"507",61,3,63,9,40,7,35
"508",56,0,82,0,0,0,0
"509",66,4,57,11,42,12,32
"510",49,7,66,8,45,8,39
"511",66,0,70,0,0,0,0
"512",51,3,79,5,34,12,35
"513",61,3,75,8,39,8,39
"514",51,0,90,0,0,0,0
"515",59,4,70,11,31,14,30
"516",56,6,52,9,30,12,38
"517",44,7,75,9,33,9,35
"518",62,7,76,8,28,11,38
"519",49,7,79,6,37,11,27
"520",47,8,76,7,36,9,38
"521",55,2,69,11,26,13,51
"522",62,8,72,7,34,4,38
"523",60,4,74,8,26,7,40
"524",48,0,61,0,0,0,0
"525",54,3,74,10,36,7,39
"526",55,3,87,7,33,15,32
"527",49,0,79,6,40,8,35
"528",71,6,70,14,29,11,40
"529",52,0,68,0,0,1,0
"530",0,0,0,0,0,0,0
"531",0,0,0,0,0,0,0
"532",43,1,62,8,40,7,35
"533",55,4,76,11,29,11,47
"534",61,4,89,9,27,15,39
"535",57,10,76,8,38,5,41
"536",52,5,79,6,22,9,37
"537",40,3,69,9,24,10,38
