"","age1.D","age2_no_comorbid.D","age2_comorbid.D","age3_no_comorbid.D","age3_comorbid.D"
"574",31,52,30,4,26
"575",32,44,30,7,32
"576",25,43,20,6,33
"577",20,38,24,8,42
"578",22,51,32,3,43
"579",31,43,30,5,36
"580",0,0,0,0,0
"581",25,48,27,13,37
"582",34,60,29,7,34
"583",33,49,23,10,34
"584",31,33,28,7,37
"585",33,44,38,6,42
"586",36,47,32,6,44
"587",0,0,0,0,0
"588",0,0,0,0,0
"589",33,51,26,10,40
"590",27,44,34,9,39
"591",33,63,21,8,39
"592",29,29,23,8,42
"593",27,57,31,6,36
"594",29,36,29,7,35
"595",0,0,0,0,0
"596",26,44,34,5,37
"597",0,0,0,0,0
"598",39,42,21,7,33
"599",24,43,34,8,36
"600",32,39,27,8,38
"601",33,42,30,9,36
"602",30,42,29,5,31
"603",32,37,37,4,33
"604",0,0,0,0,0
"605",32,45,36,9,37
"606",31,37,30,7,38
"607",22,56,29,5,35
"608",0,0,0,0,0
"609",31,41,26,6,40
"610",18,42,35,9,35
"611",31,57,30,9,41
"612",40,50,29,5,40
"613",27,52,36,11,41
"614",0,0,0,0,0
"615",22,38,29,6,45
"616",37,39,27,5,40
"617",33,36,33,14,37
"618",0,0,0,0,0
"619",27,44,28,7,31
"620",26,57,29,4,45
"621",33,39,36,8,38
"622",0,0,0,0,0
"623",22,42,28,5,39
"624",0,0,0,0,0
"625",31,40,37,8,41
"626",0,0,0,0,0
"627",30,33,30,12,44
"628",30,45,32,11,37
"629",21,39,29,7,35
"630",24,43,29,13,44
"631",26,50,32,7,38
"632",0,0,0,0,0
"633",34,42,30,8,33
"634",30,44,37,7,40
"635",31,41,30,5,38
"636",35,52,42,5,33
"637",15,49,31,8,43
"638",35,43,32,8,39
"639",34,36,22,6,36
"640",27,49,27,8,35
"641",25,37,24,8,39
"642",32,42,31,8,35
"643",30,52,40,5,39
"644",25,47,31,10,42
"645",0,0,0,0,0
"646",0,0,0,0,0
"647",28,44,36,2,39
"648",36,47,43,6,36
"649",0,0,0,0,0
"650",29,37,36,9,32
"651",23,48,26,10,36
"652",0,0,0,0,0
"653",25,39,27,6,34
"654",22,50,29,9,37
"655",32,53,27,5,30
"656",30,45,29,8,40
"657",30,40,29,5,35
"658",31,50,31,3,29
"659",29,51,22,8,46
"660",0,0,0,0,0
"661",20,44,19,5,31
"662",29,45,38,3,44
"663",25,54,37,11,32
"664",27,45,32,10,37
"665",25,55,30,8,36
"666",30,63,36,9,34
"667",28,49,33,13,36
"668",33,55,31,5,34
"669",30,53,34,3,36
"670",0,0,0,0,0
"671",43,52,27,4,41
"672",31,60,23,14,33
"673",29,38,35,13,31
"674",20,33,31,7,31
"675",27,39,25,7,42
"676",29,47,36,11,32
"677",42,47,33,11,38
"678",0,0,0,0,0
"679",24,44,30,8,33
"680",30,35,26,12,42
"681",28,36,22,8,44
