"","age1.I","age2_no_comorbid.I","age2_comorbid.I","age3_no_comorbid.I","age3_comorbid.I"
"842",1,1,0,0,0
"843",1,1,0,0,0
"844",1,1,0,0,0
"845",0,1,0,0,0
"846",0,2,0,0,0
"847",2,3,0,0,0
"848",0,1,0,0,0
"849",1,1,0,0,1
"850",28,17,4,1,2
"851",1,2,0,0,0
"852",0,1,0,0,0
"853",0,1,0,0,0
"854",1,4,0,0,0
"855",0,1,0,0,0
"856",0,0,0,0,0
"857",21,19,3,1,3
"858",1,1,0,0,0
"859",0,1,0,0,1
"860",1,1,1,0,0
"861",1,1,0,0,0
"862",0,0,0,0,0
"863",0,1,0,0,1
"864",1,1,0,0,0
"865",2,4,0,0,0
"866",0,1,0,0,0
"867",25,16,5,2,2
"868",2,2,0,0,0
"869",9,6,2,0,1
"870",1,1,0,0,0
"871",3,2,1,0,0
"872",1,3,0,0,0
"873",0,1,0,0,0
"874",0,1,0,0,0
"875",19,15,4,1,2
"876",0,1,0,0,0
"877",22,16,5,2,2
"878",3,1,0,0,1
"879",0,1,0,0,0
"880",0,1,0,0,0
"881",27,27,4,1,2
"882",32,23,4,2,4
"883",3,1,0,0,0
"884",0,1,0,0,0
"885",0,1,0,0,0
"886",31,31,5,2,3
"887",0,2,0,1,0
"888",0,1,0,0,0
"889",29,23,5,2,3
"890",0,1,0,0,0
"891",0,1,0,0,0
"892",2,4,2,0,0
"893",1,2,0,0,0
"894",0,0,0,0,0
"895",31,27,4,1,3
"896",2,1,0,0,1
"897",21,17,3,1,1
"898",0,1,0,0,0
"899",0,1,0,0,0
"900",27,29,5,1,2
"901",1,4,0,0,0
"902",2,1,0,0,0
"903",0,1,1,0,0
"904",0,1,0,0,0
"905",0,1,0,0,0
"906",0,1,0,0,0
"907",27,22,6,2,3
"908",0,0,0,0,0
"909",1,2,0,0,0
"910",0,1,0,0,0
"911",23,17,4,1,2
"912",1,1,0,1,1
"913",21,19,5,1,2
"914",0,1,0,0,0
"915",24,17,8,3,5
"916",23,15,4,2,2
"917",30,16,5,3,2
"918",13,13,3,1,3
"919",23,18,3,2,1
"920",1,1,0,0,0
"921",1,1,0,0,0
"922",0,1,0,0,0
"923",10,9,2,2,2
"924",0,1,0,0,0
"925",0,1,0,0,0
"926",0,0,0,0,0
"927",0,2,0,0,0
"928",0,1,0,0,0
"929",0,1,0,0,0
"930",0,1,0,0,0
"931",0,1,0,0,0
"932",0,1,0,0,0
"933",2,0,0,0,0
"934",18,15,4,3,2
"935",0,2,0,0,0
"936",1,1,0,0,0
"937",2,2,1,1,1
"938",1,1,1,0,0
"939",7,7,1,2,1
"940",0,1,0,0,0
"941",1,1,0,0,0
"942",0,1,0,1,0
"943",1,1,0,0,0
"944",17,14,4,2,3
"945",1,2,1,0,0
"946",45,37,5,2,2
"947",2,1,1,0,0
"948",24,20,7,2,3
"949",12,10,2,2,2
"950",0,1,0,0,0
"951",0,1,0,0,0
"952",0,1,0,0,0
"953",0,0,0,0,0
"954",6,3,0,1,0
"955",27,25,4,2,3
"956",1,1,0,1,1
"957",2,4,0,0,0
"958",40,28,7,2,1
"959",25,20,6,1,3
"960",1,1,0,0,0
"961",4,3,1,1,1
"962",0,1,0,0,0
"963",18,16,3,1,3
"964",1,2,0,1,0
"965",2,2,1,0,0
"966",27,25,5,2,2
"967",0,1,0,0,0
"968",23,21,7,2,2
"969",4,2,1,0,0
"970",0,0,0,0,0
"971",27,17,4,1,3
"972",3,3,0,0,0
"973",0,1,0,0,0
"974",0,1,0,0,0
"975",44,25,6,2,3
"976",0,1,0,0,0
"977",0,1,0,0,0
"978",0,1,0,0,0
"979",3,2,1,0,1
"980",0,1,0,0,0
"981",38,24,4,1,2
"982",9,6,2,0,0
"983",0,1,0,0,0
"984",2,1,0,0,0
"985",0,0,0,0,0
"986",1,1,0,0,0
"987",0,1,0,0,0
"988",0,1,0,0,0
"989",39,28,5,3,3
"990",1,1,0,0,0
"991",28,19,3,3,2
"992",28,27,5,3,4
"993",0,1,0,0,0
"994",0,1,0,0,0
"995",26,18,7,2,3
"996",0,1,0,0,0
"997",0,0,0,0,0
"998",0,1,0,0,0
"999",24,16,4,1,2
"1000",27,30,4,1,2
"1001",0,1,0,0,0
"1002",1,1,0,0,0
"1003",1,1,0,0,0
"1004",0,1,0,0,0
"1005",2,1,0,0,0
"1006",0,1,0,0,0
"1007",29,23,4,2,3
"1008",3,2,0,0,1
"1009",0,1,0,0,0
"1010",38,36,5,3,2
"1011",0,1,0,0,0
"1012",24,15,4,2,2
"1013",0,0,0,0,0
"1014",2,2,0,0,0
"1015",3,2,1,0,0
"1016",0,1,0,0,0
"1017",0,1,0,0,0
"1018",1,2,0,0,0
"1019",0,1,0,0,0
"1020",6,6,1,0,1
"1021",0,1,0,0,0
"1022",0,1,0,0,0
"1023",1,1,0,0,0
"1024",0,1,0,0,0
"1025",5,6,1,2,1
"1026",18,15,4,2,2
"1027",0,1,1,0,0
"1028",0,2,1,0,0
"1029",5,4,3,0,1
"1030",6,6,2,1,2
