"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"830",16,24,6,2,9
"831",17,25,9,2,7
"832",22,21,9,2,8
"833",0,0,0,0,0
"834",23,15,8,2,8
"835",17,19,7,2,6
"836",10,15,7,2,10
"837",18,18,8,4,7
"838",0,0,0,0,0
"839",13,15,5,3,7
"840",16,22,8,7,10
"841",0,1,0,0,0
"842",0,0,0,0,0
"843",17,16,5,4,8
"844",20,17,8,3,10
"845",17,16,9,2,6
"846",13,20,5,3,8
"847",0,0,0,0,0
"848",18,20,5,4,9
"849",15,19,7,4,7
"850",14,17,6,2,7
"851",15,15,5,3,8
"852",16,13,8,3,8
"853",0,0,0,0,0
"854",0,0,0,0,0
"855",21,22,9,3,10
"856",17,23,6,2,7
"857",15,15,8,3,8
"858",19,19,7,2,5
"859",0,0,0,0,0
"860",18,17,7,2,6
"861",17,17,8,2,9
"862",18,12,7,3,7
"863",18,17,6,2,7
"864",18,13,7,1,9
"865",16,16,7,4,6
"866",18,17,5,4,10
"867",24,18,9,2,12
"868",0,0,0,0,0
"869",17,17,8,3,11
"870",12,20,5,3,14
"871",22,12,9,2,12
"872",0,1,0,0,0
"873",0,0,0,0,0
"874",0,0,0,0,0
"875",13,17,7,3,13
"876",14,13,9,2,6
"877",18,12,6,2,6
"878",11,28,7,1,9
"879",0,0,0,0,0
"880",20,18,6,4,9
"881",20,20,7,2,8
"882",15,20,8,3,7
"883",0,0,0,0,0
"884",0,0,0,0,0
"885",0,0,0,0,0
"886",0,1,0,0,0
"887",20,15,10,2,8
"888",13,16,4,2,7
"889",23,13,7,3,9
"890",22,20,6,2,7
"891",15,20,6,2,8
"892",0,0,0,0,0
"893",0,0,0,0,0
"894",20,13,7,1,12
"895",21,15,8,3,7
"896",18,20,8,5,10
"897",20,17,5,2,5
"898",0,0,0,0,0
"899",16,20,8,3,6
"900",17,22,7,2,9
"901",16,15,9,5,10
"902",11,16,7,4,8
"903",0,0,0,0,0
"904",15,27,7,4,7
"905",10,17,11,2,8
"906",17,24,7,2,9
"907",21,20,8,4,6
"908",19,12,10,5,10
"909",0,0,0,0,0
"910",0,0,0,0,0
"911",18,24,8,2,6
"912",0,0,1,0,0
"913",16,20,8,5,7
"914",0,0,0,0,0
"915",17,19,7,2,9
"916",17,27,9,3,9
"917",14,18,7,3,7
"918",0,0,0,0,0
"919",19,22,8,1,9
"920",14,12,6,2,8
"921",17,19,4,4,5
"922",16,19,7,4,6
"923",17,16,7,3,7
"924",13,18,8,3,8
"925",18,18,12,4,11
"926",11,21,7,3,5
"927",19,16,9,2,8
"928",20,19,8,2,7
"929",24,23,12,3,6
"930",21,13,11,4,8
"931",0,0,0,0,0
"932",0,0,0,0,0
"933",16,19,8,3,8
"934",0,0,0,0,0
"935",0,0,0,0,0
"936",0,0,0,0,0
"937",16,14,4,3,5
"938",18,22,9,2,11
"939",0,0,0,0,0
"940",25,12,7,2,8
"941",17,17,6,3,6
"942",19,16,10,3,7
"943",15,19,6,2,7
"944",21,16,7,3,13
"945",14,20,10,4,5
"946",17,16,9,2,9
"947",10,18,11,2,8
"948",23,16,7,2,8
"949",0,0,0,0,0
"950",0,0,0,0,0
"951",20,18,6,2,7
"952",22,20,7,4,9
"953",17,16,9,4,11
"954",11,14,12,2,9
"955",23,17,5,5,10
"956",0,0,0,0,0
"957",0,0,0,0,0
"958",21,14,8,4,8
"959",18,16,8,4,8
"960",16,19,7,4,11
"961",0,0,0,0,0
"962",16,13,7,3,6
"963",20,15,7,3,9
"964",0,0,0,0,0
"965",0,0,0,0,0
"966",0,0,0,0,0
"967",13,17,7,5,10
"968",0,0,0,0,0
"969",0,0,0,0,0
"970",20,20,5,2,6
"971",17,13,6,2,10
"972",11,14,8,5,6
"973",16,13,7,2,6
"974",16,13,8,3,9
"975",19,15,4,4,8
"976",22,15,7,3,7
"977",0,0,0,0,0
"978",16,20,9,3,8
"979",0,0,0,0,0
"980",15,17,11,4,10
"981",13,22,7,3,10
"982",18,16,8,2,8
"983",16,14,8,2,9
"984",13,17,7,3,7
"985",19,17,7,3,7
"986",13,15,9,5,8
"987",23,16,6,1,7
"988",0,0,0,0,0
"989",23,14,9,5,10
"990",18,21,6,4,13
"991",16,19,7,4,5
"992",16,18,5,2,8
"993",17,17,15,2,7
"994",14,21,7,0,4
"995",16,22,8,1,10
"996",22,24,7,4,7
"997",13,14,10,2,6
"998",0,0,0,0,0
"999",15,17,9,2,9
"1000",0,0,0,0,0
"1001",0,0,0,0,0
"1002",16,19,5,5,9
"1003",12,16,6,4,9
"1004",16,17,5,5,9
"1005",0,0,0,0,0
"1006",0,0,0,0,0
"1007",21,19,7,2,7
"1008",14,22,7,3,13
"1009",14,16,7,4,10
"1010",0,0,0,0,0
"1011",18,16,11,3,9
"1012",19,16,8,2,11
"1013",22,18,5,3,6
"1014",19,12,7,2,7
"1015",12,19,11,2,7
"1016",15,16,10,4,6
"1017",19,17,10,3,7
"1018",14,15,8,3,6
"1019",20,14,9,2,11
"1020",0,0,0,0,0
"1021",12,20,9,4,10
"1022",23,17,12,2,8
"1023",15,17,11,3,7
"1024",27,16,9,4,7
"1025",20,13,7,3,9
"1026",19,15,7,4,7
"1027",0,0,0,0,0
"1028",18,29,8,2,5
"1029",15,18,9,4,9
"1030",0,0,0,0,0
"1031",0,1,0,0,0
"1032",17,22,7,1,8
"1033",18,13,9,2,8
"1034",0,0,0,0,0
"1035",14,19,4,3,9
"1036",19,17,6,3,10
"1037",21,20,6,1,6
"1038",13,18,7,2,6
"1039",23,22,12,2,10
"1040",16,16,8,1,7
"1041",22,26,8,2,10
"1042",16,19,5,3,5
"1043",18,14,7,3,10
