contacts,Isolate,Limit,Onset,Fate,Tcheck,PopSize,lock,self,mod,NumFinalDeaths.mean,NumFinalDeaths.stderr,NumFinalDeaths.mean.E,NumFinalDeaths.stderr.E,NumFinalDeaths.mean.S,NumFinalDeaths.stderr.S,P.outbrk,P.outbrk.E,P.outbrk.S,P.cases.lt.thr,P.cases.lt.thr.E,P.cases.lt.thr.S,NumFinalRecovered.mean,NumFinalRecovered.stderr,NumFinalRecovered.mean.E,NumFinalRecovered.stderr.E,NumFinalRecovered.mean.S,NumFinalRecovered.stderr.S,CFR,CFR.E,CFR.S,TimePeakSymptomatic.mean,TimePeakSymptomatic.stderr,TimePeakSymptomatic.mean.E,TimePeakSymptomatic.stderr.E,TimePeakSymptomatic.mean.S,TimePeakSymptomatic.stderr.S
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,self0.4,modSV,0.07189,0.001007,0.07005,0.0003674,0.169,0.002103,0.652,0.652,0.304,0.348,0.348,0.696,0.6791,0.003048,0.7866,0.000924,0.5303,0.003525,0.09573,0.08177,0.2086,76.01,1.332,58.33,0.6445,110.3,1.996
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,self0.5,modSV,0.05841,0.0007929,0.06135,0.0003516,0.1318,0.002592,0.596,0.596,0.188,0.404,0.404,0.792,0.5934,0.002577,0.7038,0.001245,0.4274,0.006848,0.08962,0.08018,0.1959,87.98,1.624,71.54,0.8094,133.3,3.053
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.1031,0.0008743,0.07892,0.0003469,0.231,0.001144,0.798,0.798,0.69,0.202,0.202,0.31,0.8346,0.002396,0.8936,0.0004042,0.6922,0.001197,0.1099,0.08115,0.2292,54.08,0.594,37.49,0.3366,64.71,0.6335
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateD,TcheckYES,PopSize500,lockNO,selfNO,modSV,0.08255,0.001235,0.07891,0.0006223,0.2332,0.002874,0.68,0.68,0.002,0.17,0.17,0.656,0.7684,0.003416,0.8891,0.0008205,0.6833,0.003206,0.09701,0.08152,0.2335,39.35,0.5731,32.13,0.3134,56.37,0.9328
shield_cont2_age3_age2_20,IsolateNO,Limit0,Onset0,FateR,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.02309,0.0002778,0.01396,0.0001306,0.07042,0.0006728,0.588,0.588,0.242,0.156,0.202,0.27,0.9149,0.002867,0.9586,0.0002914,0.8535,0.001132,0.02461,0.01436,0.07743,54.17,0.5445,37.53,0.3362,64.23,0.6248
shield_cont2_age3_age2_20,IsolateNO,Limit10,Onset24,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.07001,0.000805,0.0452,0.0002592,0.2024,0.001006,0.806,0.806,0.674,0.194,0.194,0.326,0.8595,0.002608,0.9271,0.0003529,0.7042,0.00129,0.07531,0.04648,0.2287,57.09,0.5746,42.09,0.3628,66.95,0.6609
shield_cont2_age3_age2_20,IsolateNO,Limit100,Onset24,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.06913,0.0006884,0.04547,0.0002512,0.1905,0.001012,0.854,0.854,0.734,0.146,0.146,0.266,0.85,0.002332,0.9185,0.0004215,0.6696,0.00143,0.07521,0.04717,0.2237,57.27,0.5767,40.68,0.2936,68.01,0.6406
shield_cont2_age3_age2_20,IsolateNO,Limit2000,Onset24,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.06988,0.0006657,0.04641,0.0002495,0.1882,0.001051,0.86,0.86,0.748,0.14,0.14,0.252,0.8738,0.002206,0.9469,0.0002745,0.6683,0.001407,0.07405,0.04672,0.2204,50.16,0.5228,33.04,0.2569,60.62,0.5845
shield_cont2_age3_age2_20,IsolateNO,Limit25,Onset24,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.07088,0.0007111,0.04525,0.0002778,0.1981,0.001099,0.832,0.832,0.728,0.168,0.168,0.272,0.8598,0.00226,0.9246,0.000365,0.6862,0.001384,0.07616,0.04665,0.2284,58.56,0.5507,41.98,0.3391,68.6,0.6066
shield_cont2_age3_age2_20,IsolateNO,Limit250,Onset24,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.06792,0.0007314,0.04525,0.0002483,0.1891,0.001019,0.866,0.866,0.726,0.134,0.134,0.274,0.8523,0.002399,0.9256,0.0003564,0.6664,0.00131,0.07381,0.0466,0.2232,56.26,0.5937,39.41,0.3018,67.76,0.6561
shield_cont2_age3_age2_20,IsolateNO,Limit50,Onset12,FateD,TcheckYES,PopSize2000,lockNO,selfNO,modSV,0.07427,0.0006884,0.05184,0.0002793,0.1904,0.001142,0.876,0.876,0.754,0.124,0.124,0.246,0.8444,0.002241,0.9139,0.0003862,0.6576,0.00163,0.08085,0.05368,0.2202,56.92,0.5268,40.64,0.2917,66.99,0.6085
