"","age1_orange.I","age2_no_comorbid_orange.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"336",52,55,98,101,102
"337",53,57,102,105,105
"338",60,63,128,132,131
"339",57,60,113,117,117
"340",38,41,70,72,72
"341",41,44,79,81,81
"342",51,54,104,107,107
"343",67,71,134,139,138
"344",75,80,160,164,164
"345",62,66,129,133,133
"346",44,46,79,82,83
"347",47,50,91,94,93
"348",50,53,97,100,100
"349",53,56,102,105,106
"350",75,79,210,214,212
"351",57,60,121,124,123
"352",42,45,80,83,84
"353",45,48,85,88,89
"354",51,54,96,99,99
"355",50,53,98,101,101
"356",36,39,69,72,71
"357",51,54,95,99,99
"358",45,48,84,87,86
"359",47,50,94,97,97
"360",55,58,116,120,120
"361",54,58,109,113,113
"362",53,56,99,102,102
"363",63,66,132,135,136
"364",50,53,100,103,103
"365",65,68,122,126,126
"366",53,56,104,107,109
"367",43,45,86,89,89
"368",53,56,104,107,106
"369",45,48,87,90,90
"370",71,75,142,146,146
"371",49,52,94,97,97
"372",33,35,63,66,66
"373",41,43,80,83,84
"374",63,66,134,138,137
"375",53,56,103,106,106
"376",60,64,121,125,124
"377",51,54,95,98,98
"378",74,78,166,170,168
"379",86,90,188,192,192
"380",50,53,95,98,99
"381",53,56,102,106,107
"382",43,46,80,83,84
"383",70,74,141,145,145
"384",41,43,82,85,85
"385",39,41,78,81,80
"386",63,66,132,135,135
"387",55,58,105,108,108
"388",53,56,107,110,109
"389",54,57,103,107,107
"390",50,53,99,103,103
"391",59,62,116,120,120
"392",81,86,199,203,203
"393",52,55,109,112,112
"394",53,56,109,112,112
"395",56,59,114,117,117
"396",46,49,92,95,95
"397",59,62,125,128,127
"398",55,59,109,113,113
"399",84,89,191,196,196
"400",73,77,173,177,177
"401",56,60,116,120,119
"402",100,106,227,233,232
"403",73,77,138,142,143
"404",63,67,137,141,141
"405",33,36,63,65,65
"406",71,76,147,151,150
"407",59,63,121,125,125
"408",53,56,109,112,111
"409",55,59,105,109,110
"410",68,72,137,141,140
"411",52,55,102,105,104
"412",61,64,118,122,122
"413",58,61,121,125,124
"414",53,56,110,113,113
"415",88,93,207,212,211
"416",49,52,92,96,96
"417",79,83,167,172,172
"418",40,42,73,76,75
"419",48,51,88,92,92
"420",43,46,84,87,87
"421",58,62,114,118,118
"422",51,54,96,99,99
"423",74,78,146,151,151
"424",50,53,95,98,99
"425",45,48,86,89,89
"426",74,78,150,154,154
"427",36,38,67,69,69
"428",50,53,93,96,96
"429",49,52,91,94,95
"430",50,53,99,103,102
"431",58,61,127,131,130
"432",58,61,110,114,113
"433",103,108,240,245,245
"434",66,70,130,134,134
"435",47,50,93,96,96
"436",77,81,158,163,164
"437",38,41,72,75,75
"438",54,57,107,111,110
"439",43,46,80,83,83
"440",89,94,184,189,191
"441",40,42,75,78,79
"442",66,69,128,132,132
"443",42,44,75,78,78
"444",58,62,125,128,127
"445",47,50,92,95,96
"446",43,46,82,85,85
"447",36,39,67,70,70
"448",71,75,150,155,155
"449",62,65,125,129,129
"450",85,89,187,192,191
"451",54,58,105,109,109
"452",51,55,99,103,103
"453",52,56,101,105,104
"454",55,59,110,113,114
"455",46,49,85,88,87
"456",72,76,149,153,154
"457",40,43,76,78,79
"458",48,51,93,97,96
"459",41,44,80,82,82
"460",36,39,67,69,69
"461",55,59,106,109,109
"462",52,55,106,109,110
"463",54,57,110,114,113
"464",70,74,156,160,158
"465",67,71,151,155,155
"466",67,70,138,142,144
"467",44,47,81,84,86
"468",44,47,83,86,85
"469",52,55,100,103,103
"470",34,37,64,67,66
"471",43,46,83,86,85
"472",58,61,118,122,122
"473",41,44,76,79,77
"474",68,72,137,141,142
"475",58,61,112,116,116
"476",52,55,97,100,100
"477",43,46,82,84,85
"478",43,46,82,85,84
"479",47,49,91,94,94
"480",50,53,100,103,104
"481",54,57,102,105,106
"482",53,56,99,102,102
"483",62,66,135,139,138
"484",39,41,75,78,78
"485",46,48,88,91,91
"486",52,55,107,111,110
"487",58,62,112,116,116
"488",40,43,75,78,78
"489",44,47,86,89,90
"490",54,57,102,106,106
"491",39,42,73,76,76
"492",50,53,97,100,99
"493",43,46,83,85,85
"494",47,50,92,95,95
"495",49,52,96,99,100
"496",52,55,100,103,105
"497",38,41,71,74,74
"498",63,66,129,133,134
"499",62,66,133,137,137
"500",46,49,84,87,87
