"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"597",21,24,6,4,7
"598",24,19,6,4,8
"599",17,19,7,4,7
"600",0,0,0,0,0
"601",20,23,7,5,7
"602",0,0,0,0,0
"603",19,20,8,3,9
"604",20,19,10,4,12
"605",14,24,10,2,9
"606",16,21,8,4,15
"607",0,0,0,0,0
"608",20,18,10,1,10
"609",14,24,6,2,5
"610",15,29,6,2,7
"611",15,27,6,3,11
"612",0,0,0,0,0
"613",16,16,9,4,6
"614",0,0,0,0,0
"615",17,21,9,4,7
"616",16,23,7,3,10
"617",19,24,8,4,8
"618",0,0,0,0,0
"619",16,21,11,4,9
"620",13,20,7,3,11
"621",0,0,0,0,0
"622",0,0,0,0,0
"623",0,0,0,0,0
"624",0,0,0,0,0
"625",19,19,10,5,8
"626",17,16,7,4,7
"627",22,22,6,3,9
"628",15,16,10,1,12
"629",0,0,0,0,0
"630",19,16,10,3,11
"631",0,0,0,0,0
"632",0,1,0,0,0
"633",19,14,11,3,10
"634",17,21,5,2,10
"635",0,1,0,0,0
"636",0,0,0,0,0
"637",16,20,8,3,12
"638",0,0,0,0,0
"639",0,0,0,0,0
"640",0,0,0,0,0
"641",26,20,10,4,7
"642",16,21,8,4,6
"643",21,17,7,2,11
"644",22,24,10,2,7
"645",0,0,0,0,0
"646",19,18,8,4,11
"647",0,0,0,0,0
"648",21,14,6,4,11
"649",21,19,7,3,6
"650",18,21,6,2,8
"651",15,18,9,2,10
"652",0,0,0,0,0
"653",0,0,0,0,0
"654",19,23,7,4,7
"655",16,15,5,3,5
"656",17,27,12,3,7
"657",0,0,0,0,0
"658",0,0,0,0,0
"659",16,17,5,4,10
"660",25,15,6,3,5
"661",0,0,0,0,0
"662",15,20,10,3,13
"663",17,20,8,3,8
"664",0,0,0,0,0
"665",0,0,0,0,0
"666",19,23,11,3,8
"667",0,0,0,0,0
"668",18,20,9,2,8
"669",0,0,0,0,0
"670",1,0,0,0,0
"671",0,0,0,0,0
"672",0,0,0,0,0
"673",0,0,0,0,0
"674",15,23,12,3,7
"675",16,15,12,3,5
"676",0,1,0,0,0
"677",12,20,8,2,5
"678",15,18,8,4,7
"679",23,21,6,6,9
"680",20,23,7,2,10
"681",0,1,0,0,0
"682",0,0,0,0,0
"683",16,19,5,2,7
"684",0,0,0,0,0
"685",0,0,0,0,0
"686",19,23,6,4,11
"687",0,0,0,0,0
"688",0,0,0,0,0
"689",19,17,7,3,9
"690",21,16,10,2,10
"691",13,18,10,2,4
"692",18,12,9,2,7
"693",0,0,0,0,0
"694",17,14,8,2,10
"695",0,0,0,0,0
"696",18,19,7,3,10
"697",23,18,9,4,9
