"","age1_orange.O","age1_green.O","age2_no_comorbid_orange.O","age2_no_comorbid_green.O","age2_comorbid_green.O","age3_no_comorbid_green.O","age3_comorbid_green.O"
"1209",169,0,150,0,0,0,0
"1210",193,16,166,14,11,6,4
"1211",165,12,161,23,22,7,8
"1212",170,0,168,0,0,0,0
"1213",164,19,168,23,26,8,13
"1214",161,0,164,0,0,0,0
"1215",0,0,1,0,0,0,0
"1216",165,11,170,17,17,5,8
"1217",157,17,168,15,17,9,10
"1218",195,0,166,1,0,0,0
"1219",171,14,181,20,21,7,9
"1220",163,17,154,21,18,6,7
"1221",143,19,153,19,25,7,11
"1222",161,14,179,13,21,8,11
"1223",178,0,186,0,0,0,1
"1224",0,0,1,0,0,0,0
"1225",153,13,161,20,16,6,9
"1226",170,0,177,0,0,0,0
"1227",0,0,1,0,0,0,0
"1228",169,13,167,15,15,6,8
"1229",170,13,176,22,21,5,9
"1230",166,21,177,18,17,6,6
"1231",174,13,175,18,12,6,5
"1232",160,0,181,0,0,0,0
"1233",165,16,166,13,18,8,6
"1234",171,14,166,20,21,5,10
"1235",157,15,163,21,22,7,9
"1236",166,0,161,0,0,0,0
"1237",181,9,172,11,14,6,5
"1238",0,0,0,0,0,0,0
"1239",157,16,171,21,16,6,8
"1240",178,17,166,16,18,5,7
"1241",176,13,175,19,20,8,9
"1242",177,15,185,19,24,6,5
"1243",166,10,199,14,17,5,7
"1244",0,0,0,0,0,0,0
"1245",173,13,166,17,14,7,8
"1246",162,0,160,0,0,0,0
"1247",0,0,1,0,0,0,0
"1248",169,10,150,15,20,6,7
"1249",175,14,136,20,17,6,6
"1250",169,0,156,0,0,0,0
"1251",185,0,181,0,0,0,0
"1252",192,0,152,1,0,0,0
"1253",0,0,1,0,0,0,0
"1254",182,11,182,20,17,5,8
"1255",186,0,167,0,0,0,0
"1256",146,0,161,0,0,0,0
"1257",157,20,157,15,21,10,7
"1258",154,0,174,0,0,0,0
"1259",154,17,148,21,23,10,7
"1260",182,11,163,18,23,9,7
"1261",169,0,169,0,0,0,0
"1262",201,13,191,18,20,7,6
"1263",186,12,152,22,19,8,9
"1264",172,18,182,18,21,9,8
"1265",183,0,164,0,0,0,0
"1266",181,0,146,0,0,0,0
"1267",0,0,1,0,0,0,0
"1268",177,16,173,17,17,7,12
"1269",160,14,169,19,15,5,6
"1270",178,13,149,18,18,6,7
"1271",158,0,143,0,1,0,0
"1272",173,14,168,14,18,6,7
"1273",174,16,185,13,21,7,6
"1274",154,12,141,20,16,7,11
"1275",169,0,193,1,0,0,0
"1276",166,16,159,20,23,7,10
"1277",0,0,1,0,0,0,0
"1278",193,0,187,0,1,0,0
"1279",174,18,174,20,17,6,9
"1280",157,13,155,16,14,6,6
"1281",175,9,166,19,15,5,9
"1282",178,15,182,18,19,7,7
"1283",165,11,184,15,13,7,8
"1284",186,14,168,19,15,6,9
"1285",0,0,1,0,0,0,0
"1286",171,0,159,0,1,0,0
"1287",178,14,167,19,18,6,7
"1288",0,0,1,0,0,0,0
"1289",168,19,188,13,16,6,5
"1290",157,10,164,14,12,6,5
"1291",153,10,156,20,20,6,7
"1292",178,0,152,0,0,0,0
"1293",182,0,172,0,0,0,0
"1294",164,0,177,0,0,0,0
"1295",152,13,150,19,16,6,9
"1296",167,16,151,19,19,5,6
"1297",150,14,160,13,16,6,5
"1298",1,0,1,0,0,0,0
"1299",160,0,151,0,0,0,0
"1300",151,12,163,22,15,6,7
"1301",164,0,176,0,0,0,0
"1302",0,0,1,0,0,0,0
"1303",161,0,166,0,0,0,0
"1304",156,17,161,17,19,8,8
"1305",173,0,166,0,0,0,0
"1306",159,0,150,0,0,0,0
"1307",184,0,159,0,0,0,0
"1308",173,16,178,19,15,6,7
"1309",165,0,169,0,0,0,0
"1310",167,0,172,0,0,0,0
"1311",160,14,196,20,25,9,7
"1312",168,12,161,18,16,7,11
"1313",167,0,185,0,0,0,0
"1314",190,12,183,18,23,9,9
"1315",1,0,2,0,0,0,0
"1316",158,16,153,16,13,4,6
"1317",173,0,178,0,0,0,0
"1318",165,14,158,22,16,8,8
"1319",0,0,1,0,0,0,0
"1320",184,13,197,14,14,4,6
"1321",188,18,159,21,23,7,7
"1322",152,0,142,0,0,0,0
"1323",191,0,186,0,0,0,0
"1324",164,0,170,0,0,0,0
"1325",169,0,167,0,0,0,0
"1326",161,0,164,0,0,0,0
"1327",177,9,174,19,13,5,8
"1328",156,12,192,19,17,7,10
"1329",158,15,155,24,18,9,6
"1330",189,12,187,23,18,9,5
"1331",174,14,198,17,16,6,7
"1332",184,0,157,0,0,0,0
"1333",170,0,184,0,0,0,0
"1334",0,0,0,0,0,0,0
"1335",182,0,160,0,1,0,0
"1336",161,16,168,17,21,8,5
"1337",0,0,0,0,0,0,0
"1338",197,0,180,0,0,0,0
"1339",152,13,157,15,15,9,10
"1340",159,17,177,25,22,8,10
"1341",182,12,149,16,18,7,9
"1342",157,0,154,0,0,0,0
"1343",189,13,160,18,15,7,6
"1344",157,15,153,17,16,6,7
"1345",193,0,172,0,0,0,0
"1346",192,13,178,15,13,9,7
"1347",168,14,161,19,17,6,7
"1348",0,0,1,0,0,0,0
"1349",162,0,188,0,0,0,0
"1350",196,14,198,14,17,8,7
"1351",168,0,186,0,0,0,0
"1352",188,12,168,14,16,7,7
"1353",144,0,140,0,0,0,0
"1354",170,16,215,18,12,6,7
"1355",170,0,151,0,0,0,0
"1356",165,0,189,0,0,0,0
"1357",0,0,1,0,0,0,0
"1358",153,14,150,13,18,5,7
"1359",175,0,148,0,0,0,0
"1360",173,14,188,24,16,9,9
"1361",183,0,180,0,0,0,0
"1362",163,0,165,0,0,0,0
"1363",172,14,170,17,19,9,9
"1364",189,19,195,23,17,11,8
"1365",170,15,169,17,23,5,9
"1366",0,0,1,0,0,0,0
"1367",148,0,170,0,0,0,0
"1368",168,14,163,16,20,9,7
"1369",165,12,162,15,14,6,7
"1370",208,0,179,0,0,0,0
"1371",174,0,157,0,0,0,0
"1372",186,15,178,20,15,4,5
"1373",197,15,180,17,20,9,8
"1374",180,0,163,0,0,0,0
"1375",162,14,171,20,18,9,7
"1376",171,0,175,0,0,0,0
"1377",176,13,172,17,23,6,8
"1378",195,15,192,27,22,9,10
"1379",189,0,180,0,0,0,0
"1380",163,14,154,18,18,5,7
"1381",168,17,152,16,14,7,7
"1382",0,0,1,0,0,0,0
"1383",0,0,1,0,0,0,0
"1384",172,0,153,0,0,0,0
"1385",0,0,1,0,0,0,0
"1386",160,19,149,16,16,5,11
"1387",191,0,172,0,0,0,0
"1388",181,14,181,19,19,6,10
"1389",168,17,181,15,24,4,7
"1390",173,0,179,0,0,1,0
"1391",173,16,161,19,19,4,9
"1392",154,24,158,16,16,9,8
"1393",165,11,168,17,16,8,10
"1394",167,15,164,16,16,5,9
"1395",177,20,157,24,23,8,10
"1396",0,0,1,0,0,0,0
"1397",195,11,169,14,17,5,6
"1398",178,17,172,19,16,6,9
"1399",0,0,0,0,0,0,0
"1400",166,19,175,22,18,9,9
"1401",180,0,162,0,0,0,0
"1402",185,0,229,0,0,0,0
"1403",164,14,181,15,14,9,8
"1404",153,1,163,0,1,0,1
"1405",182,16,181,18,28,8,7
"1406",150,19,152,17,17,6,11
"1407",175,1,170,1,1,0,0
