"","age1.S","age2_no_comorbid.S","age2_comorbid.S","age3_no_comorbid.S","age3_comorbid.S"
"168",114,127,103,94,100
"169",80,96,77,74,78
"170",87,104,83,78,83
"171",118,131,107,98,104
"172",92,108,87,81,87
"173",82,110,78,73,80
"174",79,98,77,73,78
"175",71,101,71,68,74
"176",78,98,79,76,81
"177",111,134,99,90,98
"178",111,126,104,98,104
"179",92,117,88,84,90
"180",113,126,103,95,101
"181",238,244,203,180,191
"182",91,109,86,80,86
"183",81,97,79,75,80
"184",99,131,95,88,97
"185",64,82,65,63,68
"186",85,111,79,73,80
"187",165,175,146,132,140
"188",140,155,122,109,117
"189",88,111,82,75,82
"190",121,134,112,104,110
"191",92,103,84,77,82
"192",71,90,69,65,70
"193",103,134,98,91,99
"194",77,96,73,67,73
"195",146,157,130,118,126
"196",115,127,104,96,102
"197",93,110,90,86,91
"198",92,106,86,81,86
"199",81,112,82,80,87
"200",93,106,86,80,86
"201",91,124,86,79,88
"202",140,150,123,111,118
"203",103,115,95,88,94
"204",135,145,119,109,115
