"","age1.H","age2_no_comorbid.H","age2_comorbid.H","age3_no_comorbid.H","age3_comorbid.H"
"633",6,8,4,3,4
"634",5,3,3,1,4
"635",0,0,0,0,0
"636",0,0,0,0,0
"637",0,0,0,0,0
"638",4,6,2,1,3
"639",4,3,3,0,4
"640",0,0,0,0,0
"641",0,0,0,0,0
"642",0,0,0,0,0
"643",5,2,6,1,5
"644",5,9,2,1,3
"645",4,4,3,1,3
"646",5,4,3,1,3
"647",0,0,0,0,0
"648",0,0,0,0,0
"649",6,4,3,2,4
"650",1,0,0,0,0
"651",4,5,4,2,5
"652",0,0,0,0,0
"653",0,0,0,0,0
"654",5,6,4,2,5
"655",6,3,5,1,4
"656",4,4,2,2,3
"657",3,6,2,1,3
"658",0,0,0,0,0
"659",0,0,0,0,0
"660",3,3,2,2,3
"661",0,0,0,0,0
"662",0,0,0,0,0
"663",5,4,5,2,3
"664",4,3,4,1,3
"665",5,6,6,1,6
"666",0,0,0,0,0
"667",6,6,2,2,4
"668",0,0,0,0,0
"669",5,6,4,3,5
"670",4,3,2,1,5
"671",6,3,2,2,2
"672",0,0,0,0,0
"673",0,0,0,0,0
"674",2,3,4,1,2
"675",6,3,2,1,3
"676",5,4,4,1,3
"677",5,6,4,1,4
"678",0,1,0,0,0
"679",5,7,4,2,4
"680",0,0,0,0,0
"681",4,5,6,2,2
"682",0,0,0,0,0
"683",6,5,3,1,4
"684",0,0,0,0,0
"685",6,6,4,1,3
"686",4,4,3,0,5
"687",4,4,3,1,4
"688",7,7,4,0,7
"689",4,3,2,1,4
"690",0,0,0,0,0
"691",0,0,0,0,0
"692",4,3,4,1,6
"693",4,3,2,2,7
"694",0,0,0,0,0
"695",8,5,3,1,2
"696",0,0,0,0,0
"697",0,0,0,0,0
"698",7,4,3,1,7
"699",7,4,3,1,4
"700",0,1,0,0,0
"701",5,4,7,1,4
"702",0,0,0,0,0
"703",0,0,0,0,0
"704",4,3,3,0,4
"705",3,6,4,2,3
"706",0,0,0,0,0
"707",0,0,0,0,0
"708",0,0,0,0,0
"709",5,3,5,1,4
"710",6,3,2,1,4
