"","age1_orange.O","age1_green.O","age2_no_comorbid_orange.O","age2_no_comorbid_green.O","age2_comorbid_green.O","age3_no_comorbid_green.O","age3_comorbid_green.O"
"354",152,19,173,17,22,10,8
"355",169,13,172,17,10,7,9
"356",165,17,168,15,14,7,6
"357",183,0,172,0,0,0,0
"358",187,17,175,23,24,8,9
"359",192,19,158,23,19,5,8
"360",162,15,170,14,12,8,8
"361",167,14,165,19,20,5,10
"362",177,15,142,16,16,8,8
"363",211,17,164,26,21,8,7
"364",178,18,161,18,23,7,9
"365",171,0,177,0,0,0,0
"366",193,15,163,18,20,5,7
"367",202,19,196,14,25,5,9
"368",156,14,158,16,23,7,6
"369",163,1,178,0,0,0,0
"370",197,14,181,18,13,8,8
"371",187,19,183,20,16,5,10
"372",204,9,183,8,13,4,4
"373",0,0,0,0,0,0,0
"374",187,18,181,18,17,5,6
"375",156,12,162,15,15,6,5
"376",161,14,162,18,19,6,6
"377",0,0,0,0,0,0,0
"378",158,16,156,19,12,7,6
"379",0,0,1,0,0,0,0
"380",0,0,1,0,0,0,0
"381",199,13,190,17,17,7,6
"382",0,0,0,0,0,0,0
"383",147,14,179,13,11,8,7
"384",169,11,162,17,17,6,5
"385",164,15,153,16,24,6,9
"386",160,16,171,11,15,6,7
"387",168,15,162,15,15,8,7
"388",165,14,169,14,22,9,7
"389",172,12,166,22,19,5,6
"390",172,0,163,0,1,0,0
"391",176,0,180,0,1,0,0
"392",164,14,177,21,15,5,8
"393",153,0,159,1,1,0,0
"394",183,15,167,17,22,9,9
"395",175,14,163,19,16,6,7
"396",155,15,169,16,12,6,10
"397",159,0,160,0,0,0,0
"398",213,15,183,21,23,6,8
"399",172,13,157,19,18,10,5
"400",170,12,175,21,20,7,10
"401",164,13,160,19,14,7,10
"402",189,16,177,19,19,6,6
"403",178,0,187,1,1,0,0
"404",0,0,1,0,0,0,0
"405",154,0,144,0,1,0,0
"406",158,15,152,14,17,8,8
"407",152,15,156,17,17,6,5
"408",157,12,170,21,14,8,6
"409",178,1,148,0,0,0,0
"410",0,0,1,0,0,0,0
"411",179,15,174,18,24,4,11
"412",180,13,188,17,18,3,7
"413",192,16,166,22,14,8,9
"414",170,15,178,13,19,6,9
"415",176,15,175,15,20,8,9
"416",191,18,190,14,16,5,8
"417",181,15,187,15,12,5,8
"418",157,17,178,17,19,5,4
"419",1,0,1,0,0,0,0
"420",0,0,1,0,0,0,0
"421",0,0,2,0,0,0,0
"422",144,11,155,24,9,6,10
"423",0,0,1,0,0,0,0
"424",175,16,162,21,20,5,7
"425",0,0,0,0,0,0,0
"426",179,14,179,16,15,5,5
"427",165,13,184,15,20,8,6
