"","age1.P","age2_no_comorbid.P","age2_comorbid.P","age3_no_comorbid.P","age3_comorbid.P"
"751",74,71,14,7,9
"752",78,84,11,5,9
"753",94,89,16,6,10
"754",92,95,12,5,11
"755",1,1,0,0,0
"756",113,90,16,6,8
"757",104,85,18,4,8
"758",97,99,13,6,8
"759",0,1,0,0,0
"760",1,2,0,0,0
"761",0,1,1,0,0
"762",87,86,17,6,9
"763",86,76,15,5,7
"764",84,87,13,8,9
"765",79,72,14,6,7
"766",0,1,0,0,0
"767",93,102,22,5,10
"768",80,86,18,4,9
"769",82,86,12,5,7
"770",109,85,15,4,9
"771",79,73,16,5,7
"772",89,90,13,8,13
"773",94,80,15,6,7
"774",86,96,16,5,7
"775",1,1,0,0,0
"776",86,85,17,8,7
"777",80,77,20,7,8
"778",0,1,0,0,0
"779",0,1,0,0,0
"780",83,75,13,5,6
"781",78,79,13,5,8
"782",94,73,17,6,9
"783",0,1,0,0,0
"784",72,73,12,4,9
"785",0,1,0,0,0
"786",0,1,0,0,0
"787",97,99,13,7,9
"788",88,91,12,5,10
"789",97,109,15,6,7
"790",89,83,15,4,6
"791",0,1,0,0,0
"792",83,84,15,6,8
"793",74,68,11,6,6
"794",96,85,16,8,7
"795",0,1,0,0,0
"796",0,1,0,0,0
"797",0,1,0,0,0
"798",63,73,11,6,7
"799",1,1,0,0,0
"800",0,1,0,0,1
"801",85,81,15,6,11
"802",91,84,16,5,9
"803",80,82,11,4,10
"804",0,1,0,0,0
"805",99,73,13,6,8
"806",1,1,0,0,0
"807",84,74,15,4,7
"808",85,64,13,5,9
"809",106,77,16,8,11
"810",75,81,16,5,7
"811",90,92,17,8,8
"812",0,1,0,0,0
"813",105,97,13,6,8
"814",78,90,14,7,11
"815",95,87,15,5,8
"816",86,84,14,8,8
"817",97,91,16,6,9
"818",94,76,15,6,7
"819",89,93,16,5,7
"820",88,95,12,7,13
"821",0,1,0,0,0
"822",82,89,17,4,9
"823",76,81,15,6,11
"824",82,89,12,6,9
"825",0,1,0,0,0
"826",80,82,19,6,10
"827",75,73,12,6,7
"828",78,75,15,4,8
"829",1,1,0,0,0
"830",78,82,14,7,9
"831",89,85,15,6,10
"832",78,88,13,6,7
"833",85,83,15,7,10
"834",88,76,20,6,11
"835",96,83,19,6,14
"836",0,1,0,0,0
"837",93,78,16,5,12
"838",96,78,16,9,11
"839",0,1,0,0,0
"840",64,64,15,5,8
"841",96,95,16,5,9
"842",72,68,17,7,8
"843",84,82,9,4,7
"844",79,84,18,4,9
"845",0,1,0,0,0
"846",93,89,15,6,9
"847",89,82,17,6,7
"848",107,90,18,6,10
"849",84,81,9,6,9
"850",0,1,0,0,0
"851",93,88,14,5,10
"852",95,100,18,6,9
"853",82,93,14,5,8
"854",101,99,13,8,7
"855",91,88,12,5,9
"856",0,1,0,0,0
"857",92,84,14,5,9
"858",89,86,21,5,9
"859",82,99,15,6,14
"860",92,89,14,7,12
"861",80,82,14,8,11
"862",86,73,12,6,9
"863",87,81,17,4,10
"864",87,88,16,5,9
"865",88,99,11,4,7
"866",84,84,16,5,7
"867",0,1,0,0,0
"868",77,90,13,5,10
"869",0,1,0,0,0
"870",96,99,13,5,10
"871",86,82,13,6,8
"872",0,1,0,0,0
"873",0,1,0,0,0
"874",1,1,0,0,0
"875",2,2,0,0,0
"876",94,79,12,6,10
"877",72,84,11,3,11
"878",0,1,0,0,0
"879",91,91,17,7,8
"880",80,77,15,4,9
"881",85,102,15,4,9
"882",0,1,0,0,0
"883",1,1,0,0,0
"884",86,82,16,5,8
"885",108,119,20,7,7
"886",82,88,16,5,7
"887",1,1,0,0,0
"888",90,106,15,4,7
"889",90,77,12,5,9
"890",0,1,0,0,0
"891",0,1,0,0,0
"892",86,74,13,6,10
"893",73,73,12,4,6
"894",79,78,14,5,6
"895",92,89,17,8,9
"896",87,82,15,6,7
"897",1,1,0,0,0
"898",87,89,14,7,9
"899",81,81,12,4,8
"900",84,69,15,6,9
"901",106,93,18,3,8
"902",86,81,15,5,9
"903",1,1,0,0,0
"904",0,1,0,0,0
"905",88,86,14,5,7
"906",0,1,0,0,0
"907",97,93,15,6,7
"908",77,84,12,6,7
"909",88,78,14,6,10
"910",71,84,12,6,7
"911",78,88,13,4,7
"912",92,86,15,4,8
"913",87,99,17,5,8
"914",85,75,14,3,8
"915",82,77,13,4,9
"916",85,86,13,4,6
"917",1,1,0,0,0
"918",76,68,14,5,7
"919",0,1,0,0,0
"920",90,84,15,7,9
"921",0,1,0,0,0
"922",91,88,14,5,12
"923",84,81,13,7,8
"924",72,71,16,5,7
"925",0,2,0,0,0
"926",0,1,0,0,0
"927",79,91,15,5,10
"928",85,89,18,5,9
"929",80,101,13,6,7
"930",90,86,16,4,6
"931",0,1,0,0,0
"932",75,75,14,5,6
"933",87,83,12,5,10
"934",0,1,0,0,0
"935",67,68,12,6,9
"936",88,84,17,6,8
"937",79,89,13,6,8
"938",84,91,13,5,9
"939",0,1,0,0,0
"940",68,70,12,6,6
"941",0,1,1,0,0
"942",0,1,0,0,0
"943",72,84,14,6,6
"944",86,68,12,5,7
"945",78,91,16,6,9
"946",94,114,15,5,7
"947",79,86,14,5,8
"948",0,1,0,0,0
"949",86,89,17,4,8
"950",84,79,14,5,10
"951",84,102,14,5,8
"952",96,92,14,5,7
"953",81,76,13,4,8
"954",0,1,0,0,0
"955",1,1,0,0,0
"956",76,86,15,6,8
"957",98,87,17,6,9
"958",0,2,0,0,0
"959",88,95,13,6,9
"960",90,80,13,8,14
"961",96,99,15,6,9
"962",93,98,18,7,11
"963",1,1,0,0,1
"964",80,105,13,7,8
"965",91,109,13,7,11
"966",95,91,15,6,7
"967",79,79,12,8,6
"968",78,82,13,6,7
"969",96,101,15,5,8
"970",89,86,22,6,8
"971",87,73,16,5,6
"972",90,77,14,5,8
"973",101,81,18,6,9
"974",0,1,0,0,0
"975",101,91,16,8,12
"976",0,1,0,0,0
"977",110,91,15,5,12
"978",76,73,14,6,7
"979",86,78,14,6,8
"980",0,1,0,0,0
"981",83,82,11,4,9
"982",88,94,15,7,8
"983",75,84,20,5,7
"984",0,1,0,0,0
"985",100,79,17,4,8
"986",0,1,0,0,0
"987",77,82,14,9,8
